Year,Age group,Sex,Value
2010,15 to under 25 years old,,75.84
2011,15 to under 25 years old,,76.79
2012,15 to under 25 years old,,77.86
2013,15 to under 25 years old,,78.71
2014,15 to under 25 years old,,78.93
2015,15 to under 25 years old,,79.76
2016,15 to under 25 years old,,79.13
2017,15 to under 25 years old,,79.6
2018,15 to under 25 years old,,79.61
2010,15 to under 25 years old,Female,76.75
2011,15 to under 25 years old,Female,77.78
2012,15 to under 25 years old,Female,78.68
2013,15 to under 25 years old,Female,79.21
2014,15 to under 25 years old,Female,79.41
2015,15 to under 25 years old,Female,80.14
2016,15 to under 25 years old,Female,79.49
2017,15 to under 25 years old,Female,80.22
2018,15 to under 25 years old,Female,80.65
2010,15 to under 25 years old,Male,74.95
2011,15 to under 25 years old,Male,75.84
2012,15 to under 25 years old,Male,77.08
2013,15 to under 25 years old,Male,78.24
2014,15 to under 25 years old,Male,78.47
2015,15 to under 25 years old,Male,79.4
2016,15 to under 25 years old,Male,78.81
2017,15 to under 25 years old,Male,79.05
2018,15 to under 25 years old,Male,78.65
2010,25 to under 64 years old,,20.51
2011,25 to under 64 years old,,21.06
2012,25 to under 64 years old,,19.75
2013,25 to under 64 years old,,19.56
2014,25 to under 64 years old,,19.49
2015,25 to under 64 years old,,19.96
2016,25 to under 64 years old,,20.63
2017,25 to under 64 years old,,19.73
2018,25 to under 64 years old,,19.36
2010,25 to under 64 years old,Female,19.81
2011,25 to under 64 years old,Female,20.23
2012,25 to under 64 years old,Female,19.11
2013,25 to under 64 years old,Female,19.04
2014,25 to under 64 years old,Female,19.02
2015,25 to under 64 years old,Female,19.43
2016,25 to under 64 years old,Female,20.03
2017,25 to under 64 years old,Female,19.17
2018,25 to under 64 years old,Female,18.89
2010,25 to under 64 years old,Male,21.2
2011,25 to under 64 years old,Male,21.89
2012,25 to under 64 years old,Male,20.39
2013,25 to under 64 years old,Male,20.09
2014,25 to under 64 years old,Male,19.95
2015,25 to under 64 years old,Male,20.48
2016,25 to under 64 years old,Male,21.22
2017,25 to under 64 years old,Male,20.27
2018,25 to under 64 years old,Male,19.83
