Year,Units,Type of waste water,Treatment,Series,Value
2010,Percentage,,,Wastewater and cooling water,100.0
2011,Percentage,,,Wastewater and cooling water,100.0
2012,Percentage,,,Wastewater and cooling water,100.0
2013,Percentage,,,Wastewater and cooling water,100.0
2014,Percentage,,,Wastewater and cooling water,100.0
2015,Percentage,,,Wastewater and cooling water,100.0
2016,Percentage,,,Wastewater and cooling water,100.0
2010,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater that is safely treated or does not require treatment,11202690.0
2011,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater that is safely treated or does not require treatment,
2012,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater that is safely treated or does not require treatment,
2013,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater that is safely treated or does not require treatment,10912539.0
2014,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater that is safely treated or does not require treatment,
2015,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater that is safely treated or does not require treatment,
2016,1 000 m³,Total wastewater produced from public and non-public disposal,,Wastewater that is safely treated or does not require treatment,10618410.0
2010,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater that is safely treated or does not require treatment,1568324.0
2011,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater that is safely treated or does not require treatment,
2012,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater that is safely treated or does not require treatment,
2013,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater that is safely treated or does not require treatment,1513440.0
2014,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater that is safely treated or does not require treatment,
2015,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater that is safely treated or does not require treatment,
2016,1 000 m³,Total wastewater produced from public and non-public disposal,Untreated wastewater,Wastewater that is safely treated or does not require treatment,1510666.0
2010,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater that is safely treated or does not require treatment,9634366.0
2011,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater that is safely treated or does not require treatment,
2012,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater that is safely treated or does not require treatment,
2013,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater that is safely treated or does not require treatment,9399099.0
2014,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater that is safely treated or does not require treatment,
2015,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater that is safely treated or does not require treatment,
2016,1 000 m³,Total wastewater produced from public and non-public disposal,Treated wastewater,Wastewater that is safely treated or does not require treatment,9107744.0
2010,1 000 m³,Cooling water,,Wastewater that is safely treated or does not require treatment,24153706.0
2011,1 000 m³,Cooling water,,Wastewater that is safely treated or does not require treatment,
2012,1 000 m³,Cooling water,,Wastewater that is safely treated or does not require treatment,
2013,1 000 m³,Cooling water,,Wastewater that is safely treated or does not require treatment,16582729.0
2014,1 000 m³,Cooling water,,Wastewater that is safely treated or does not require treatment,
2015,1 000 m³,Cooling water,,Wastewater that is safely treated or does not require treatment,
2016,1 000 m³,Cooling water,,Wastewater that is safely treated or does not require treatment,15725418.0
