Year,Units,Ecosystem,COMMENT_OBS_0,Series,Value
2015,km²,Lakes and rivers permanent water area,,Area,5851.0
2018,km²,Lakes and rivers permanent water area,,Area,5881.0
2015,km²,Wetlands area,,Area,1548.0
2018,km²,Wetlands area,,Area,1559.0
2015,Percentage,Lakes and rivers permanent water area,,Area as a proportion of total land area,1.635
2018,Percentage,Lakes and rivers permanent water area,,Area as a proportion of total land area,1.644
2015,Percentage,Wetlands area,,Area as a proportion of total land area,0.433
2018,Percentage,Wetlands area,,Area as a proportion of total land area,0.436
2017,Percentage,Lakes and rivers permanent water area,.,Area change in comparison to 2015,
2018,Percentage,Lakes and rivers permanent water area,,Area change in comparison to 2015,0.519
2019,Percentage,Lakes and rivers permanent water area,…,Area change in comparison to 2015,
2017,Percentage,Wetlands area,.,Area change in comparison to 2015,
2018,Percentage,Wetlands area,,Area change in comparison to 2015,0.711
2019,Percentage,Wetlands area,…,Area change in comparison to 2015,
