Year,Units,Type of financial flow,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Official Development Assistance,Commitments,,,,5679.857
2011,Million EUR,Official Development Assistance,Commitments,,,,3622.443
2012,Million EUR,Official Development Assistance,Commitments,,,,4731.998
2013,Million EUR,Official Development Assistance,Commitments,,,,5060.298
2014,Million EUR,Official Development Assistance,Commitments,,,,5633.437
2015,Million EUR,Official Development Assistance,Commitments,,,,9994.227
2016,Million EUR,Official Development Assistance,Commitments,,,,7494.979
2017,Million EUR,Official Development Assistance,Commitments,,,,7520.897
2018,Million EUR,Official Development Assistance,Commitments,,,,5641.047
2019,Million EUR,Official Development Assistance,Commitments,,,,6476.748
2020,Million EUR,Official Development Assistance,Commitments,,,,4719.889
2021,Million EUR,Official Development Assistance,Commitments,,,,5164.704
2022,Million EUR,Official Development Assistance,Commitments,,,,8564.408
2023,Million EUR,Official Development Assistance,Commitments,,,,6690.262
2024,Million EUR,Official Development Assistance,Commitments,,,,5667.85
2010,Million EUR,Official Development Assistance,Gross disbursements,,,,3256.424
2011,Million EUR,Official Development Assistance,Gross disbursements,,,,2756.391
2012,Million EUR,Official Development Assistance,Gross disbursements,,,,3160.415
2013,Million EUR,Official Development Assistance,Gross disbursements,,,,3368.235
2014,Million EUR,Official Development Assistance,Gross disbursements,,,,3225.645
2015,Million EUR,Official Development Assistance,Gross disbursements,,,,5739.481
2016,Million EUR,Official Development Assistance,Gross disbursements,,,,5437.674
2017,Million EUR,Official Development Assistance,Gross disbursements,,,,5251.636
2018,Million EUR,Official Development Assistance,Gross disbursements,,,,4831.795
2019,Million EUR,Official Development Assistance,Gross disbursements,,,,5626.648
2020,Million EUR,Official Development Assistance,Gross disbursements,,,,5096.23
2021,Million EUR,Official Development Assistance,Gross disbursements,,,,4495.883
2022,Million EUR,Official Development Assistance,Gross disbursements,,,,6540.131
2023,Million EUR,Official Development Assistance,Gross disbursements,,,,5599.717
2024,Million EUR,Official Development Assistance,Gross disbursements,,,,5664.082
2010,Million EUR,Other Official Flows,Commitments,,,,42.261
2011,Million EUR,Other Official Flows,Commitments,,,,207.645
2012,Million EUR,Other Official Flows,Commitments,,,,24.261
2013,Million EUR,Other Official Flows,Commitments,,,,0.0
2014,Million EUR,Other Official Flows,Commitments,,,,79.859
2015,Million EUR,Other Official Flows,Commitments,,,,196.557
2016,Million EUR,Other Official Flows,Commitments,,,,394.375
2017,Million EUR,Other Official Flows,Commitments,,,,415.158
2018,Million EUR,Other Official Flows,Commitments,,,,1711.9
2019,Million EUR,Other Official Flows,Commitments,,,,1025.185
2020,Million EUR,Other Official Flows,Commitments,,,,1285.051
2021,Million EUR,Other Official Flows,Commitments,,,,1588.572
2022,Million EUR,Other Official Flows,Commitments,,,,876.201
2023,Million EUR,Other Official Flows,Commitments,,,,17.686
2024,Million EUR,Other Official Flows,Commitments,,,,45.038
2010,Million EUR,Other Official Flows,Gross disbursements,,,,3.39
2011,Million EUR,Other Official Flows,Gross disbursements,,,,28.84
2012,Million EUR,Other Official Flows,Gross disbursements,,,,1.847
2013,Million EUR,Other Official Flows,Gross disbursements,,,,6.25
2014,Million EUR,Other Official Flows,Gross disbursements,,,,65.864
2015,Million EUR,Other Official Flows,Gross disbursements,,,,270.107
2016,Million EUR,Other Official Flows,Gross disbursements,,,,487.698
2017,Million EUR,Other Official Flows,Gross disbursements,,,,543.509
2018,Million EUR,Other Official Flows,Gross disbursements,,,,1201.037
2019,Million EUR,Other Official Flows,Gross disbursements,,,,1529.899
2020,Million EUR,Other Official Flows,Gross disbursements,,,,1252.935
2021,Million EUR,Other Official Flows,Gross disbursements,,,,1337.369
2022,Million EUR,Other Official Flows,Gross disbursements,,,,1607.055
2023,Million EUR,Other Official Flows,Gross disbursements,,,,29.341
2024,Million EUR,Other Official Flows,Gross disbursements,,,,38.959
2010,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,6495.299
2011,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,4621.409
2012,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,5232.931
2013,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,6089.78
2014,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,6898.947
2015,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,8704.223
2016,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,6569.013
2017,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,6950.616
2018,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,5821.554
2019,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,6134.421
2020,"Million USD, constant prices (2024)",Official Development Assistance,Commitments,,,,4714.046
