Year,Type of account,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,…,,,
2011,,…,,,
2012,,…,,,
2013,,…,,,
2014,,…,,,
2015,,…,,,
2016,,…,,,
2017,,…,,,
2018,,…,,,
2019,,…,,,
2020,,,,,1336699.0
2021,,,,,1457238.0
2022,,,,,1514878.0
2023,,,,,1541245.0
2010,Online accounts,…,,,
2011,Online accounts,…,,,
2012,Online accounts,…,,,
2013,Online accounts,…,,,
2014,Online accounts,…,,,
2015,Online accounts,…,,,
2016,Online accounts,…,,,
2017,Online accounts,…,,,
2018,Online accounts,…,,,
2019,Online accounts,…,,,
2020,Online accounts,…,,,
2021,Online accounts,…,,,
2022,Online accounts,,,,25222.0
2023,Online accounts,,,,25745.0
2010,Current accounts,…,,,
2011,Current accounts,…,,,
2012,Current accounts,…,,,
2013,Current accounts,…,,,
2014,Current accounts,…,,,
2015,Current accounts,…,,,
2016,Current accounts,…,,,
2017,Current accounts,…,,,
2018,Current accounts,…,,,
2019,Current accounts,…,,,
2020,Current accounts,…,,,
2021,Current accounts,…,,,
2022,Current accounts,,,,194485.0
2023,Current accounts,,,,205032.0
