Year,Time series,Tourism Industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Employed persons,Accommodation for visitors: hotels and similar establishments,.,,,
2011,Employed persons,Accommodation for visitors: hotels and similar establishments,.,,,
2012,Employed persons,Accommodation for visitors: hotels and similar establishments,.,,,
2013,Employed persons,Accommodation for visitors: hotels and similar establishments,.,,,
2014,Employed persons,Accommodation for visitors: hotels and similar establishments,.,,,
2015,Employed persons,Accommodation for visitors: hotels and similar establishments,.,,,
2016,Employed persons,Accommodation for visitors: hotels and similar establishments,.,,,
2017,Employed persons,Accommodation for visitors: hotels and similar establishments,.,,,
2018,Employed persons,Accommodation for visitors: hotels and similar establishments,.,,,
2019,Employed persons,Accommodation for visitors: hotels and similar establishments,.,,,
2020,Employed persons,Accommodation for visitors: hotels and similar establishments,,,,433154.0
2021,Employed persons,Accommodation for visitors: hotels and similar establishments,,,,458101.0
2022,Employed persons,Accommodation for visitors: hotels and similar establishments,,,,493938.0
2023,Employed persons,Accommodation for visitors: hotels and similar establishments,,,,498001.0
2010,Employed persons,Accommodation for visitors: other,.,,,
2011,Employed persons,Accommodation for visitors: other,.,,,
2012,Employed persons,Accommodation for visitors: other,.,,,
2013,Employed persons,Accommodation for visitors: other,.,,,
2014,Employed persons,Accommodation for visitors: other,.,,,
2015,Employed persons,Accommodation for visitors: other,.,,,
2016,Employed persons,Accommodation for visitors: other,.,,,
2017,Employed persons,Accommodation for visitors: other,.,,,
2018,Employed persons,Accommodation for visitors: other,.,,,
2019,Employed persons,Accommodation for visitors: other,.,,,
2020,Employed persons,Accommodation for visitors: other,,,,521462.0
2021,Employed persons,Accommodation for visitors: other,,,,691160.0
2022,Employed persons,Accommodation for visitors: other,,,,667494.0
2023,Employed persons,Accommodation for visitors: other,,,,664668.0
2010,Employed persons,Food and beverage serving activities,.,,,
2011,Employed persons,Food and beverage serving activities,.,,,
2012,Employed persons,Food and beverage serving activities,.,,,
