Year,Units,Time series,Value
2010,Million EUR,Commitments (ODA),3345.1
2011,Million EUR,Commitments (ODA),2681.9
2012,Million EUR,Commitments (ODA),2591.8
2013,Million EUR,Commitments (ODA),3778.8
2014,Million EUR,Commitments (ODA),5803.2
2015,Million EUR,Commitments (ODA),5074.6
2016,Million EUR,Commitments (ODA),5323.7
2017,Million EUR,Commitments (ODA),5053.4
2018,Million EUR,Commitments (ODA),5160.6
2019,Million EUR,Commitments (ODA),6063.6
2020,Million EUR,Commitments (ODA),6911.9
2021,Million EUR,Commitments (ODA),6205.6
2022,Million EUR,Commitments (ODA),7222.2
2010,Million EUR,Gross disbursements (ODA),2280.2
2011,Million EUR,Gross disbursements (ODA),2198.3
2012,Million EUR,Gross disbursements (ODA),1922.8
2013,Million EUR,Gross disbursements (ODA),2589.4
2014,Million EUR,Gross disbursements (ODA),3438.9
2015,Million EUR,Gross disbursements (ODA),4476.5
2016,Million EUR,Gross disbursements (ODA),4030.8
2017,Million EUR,Gross disbursements (ODA),4011.8
2018,Million EUR,Gross disbursements (ODA),3951.5
2019,Million EUR,Gross disbursements (ODA),4389.7
2020,Million EUR,Gross disbursements (ODA),5039.1
2021,Million EUR,Gross disbursements (ODA),4945.3
2022,Million EUR,Gross disbursements (ODA),5907.6
2010,"Million USD, constant prices (2021)",Commitments (ODA),4826.6
2011,"Million USD, constant prices (2021)",Commitments (ODA),3828.3
2012,"Million USD, constant prices (2021)",Commitments (ODA),3645.4
2013,"Million USD, constant prices (2021)",Commitments (ODA),5212.6
2014,"Million USD, constant prices (2021)",Commitments (ODA),7858.1
2015,"Million USD, constant prices (2021)",Commitments (ODA),6746.3
2016,"Million USD, constant prices (2021)",Commitments (ODA),6984.5
2017,"Million USD, constant prices (2021)",Commitments (ODA),6531.6
2018,"Million USD, constant prices (2021)",Commitments (ODA),6539.0
2019,"Million USD, constant prices (2021)",Commitments (ODA),7523.4
2020,"Million USD, constant prices (2021)",Commitments (ODA),8423.8
2021,"Million USD, constant prices (2021)",Commitments (ODA),7338.7
2022,"Million USD, constant prices (2021)",Commitments (ODA),8080.8
2010,"Million USD, constant prices (2021)",Gross disbursements (ODA),3290.2
2011,"Million USD, constant prices (2021)",Gross disbursements (ODA),3137.9
2012,"Million USD, constant prices (2021)",Gross disbursements (ODA),2704.5
2013,"Million USD, constant prices (2021)",Gross disbursements (ODA),3571.8
2014,"Million USD, constant prices (2021)",Gross disbursements (ODA),4656.6
2015,"Million USD, constant prices (2021)",Gross disbursements (ODA),5951.2
2016,"Million USD, constant prices (2021)",Gross disbursements (ODA),5288.3
2017,"Million USD, constant prices (2021)",Gross disbursements (ODA),5185.3
2018,"Million USD, constant prices (2021)",Gross disbursements (ODA),5007.1
2019,"Million USD, constant prices (2021)",Gross disbursements (ODA),5446.4
2020,"Million USD, constant prices (2021)",Gross disbursements (ODA),6141.3
2021,"Million USD, constant prices (2021)",Gross disbursements (ODA),5848.3
2022,"Million USD, constant prices (2021)",Gross disbursements (ODA),6609.9
