Year,Value,Series
2010,,Persons at risk of poverty or social exclusion
2011,,Persons at risk of poverty or social exclusion
2012,,Persons at risk of poverty or social exclusion
2013,,Persons at risk of poverty or social exclusion
2014,,Persons at risk of poverty or social exclusion
2015,20.0,Persons at risk of poverty or social exclusion
2016,19.8,Persons at risk of poverty or social exclusion
2017,18.8,Persons at risk of poverty or social exclusion
2018,18.5,Persons at risk of poverty or social exclusion
2019,17.3,Persons at risk of poverty or social exclusion
2020,20.4,Persons at risk of poverty or social exclusion
2021,21.0,Persons at risk of poverty or social exclusion
2022,21.1,Persons at risk of poverty or social exclusion
2010,15.6,At-risk-of-poverty rate
2011,15.8,At-risk-of-poverty rate
2012,16.1,At-risk-of-poverty rate
2013,16.1,At-risk-of-poverty rate
2014,16.7,At-risk-of-poverty rate
2015,16.7,At-risk-of-poverty rate
2016,16.5,At-risk-of-poverty rate
2017,16.1,At-risk-of-poverty rate
2018,16.0,At-risk-of-poverty rate
2019,14.8,At-risk-of-poverty rate
2020,16.1,At-risk-of-poverty rate
2021,16.0,At-risk-of-poverty rate
2022,14.8,At-risk-of-poverty rate
2023,14.3,At-risk-of-poverty rate
2010,,Persons living in households with very low work intensity
2011,,Persons living in households with very low work intensity
2012,,Persons living in households with very low work intensity
2013,,Persons living in households with very low work intensity
2014,,Persons living in households with very low work intensity
2015,9.5,Persons living in households with very low work intensity
2016,9.4,Persons living in households with very low work intensity
2017,8.7,Persons living in households with very low work intensity
2018,8.0,Persons living in households with very low work intensity
2019,7.6,Persons living in households with very low work intensity
2020,8.3,Persons living in households with very low work intensity
2021,9.5,Persons living in households with very low work intensity
2022,9.8,Persons living in households with very low work intensity
2023,,Persons living in households with very low work intensity
2010,,Severely materially and socially deprived persons
2011,,Severely materially and socially deprived persons
2012,,Severely materially and socially deprived persons
2013,,Severely materially and socially deprived persons
2014,,Severely materially and socially deprived persons
2015,5.7,Severely materially and socially deprived persons
2016,4.7,Severely materially and socially deprived persons
2017,3.7,Severely materially and socially deprived persons
2018,3.4,Severely materially and socially deprived persons
2019,3.0,Severely materially and socially deprived persons
2020,4.4,Severely materially and socially deprived persons
2021,4.3,Severely materially and socially deprived persons
2022,6.2,Severely materially and socially deprived persons
2023,6.9,Severely materially and socially deprived persons
