Year,Value,Series
2010,2.4,Documents issued for the import and export of protected species
2011,2.35,Documents issued for the import and export of protected species
2012,2.51,Documents issued for the import and export of protected species
2013,2.74,Documents issued for the import and export of protected species
2014,2.87,Documents issued for the import and export of protected species
2015,2.69,Documents issued for the import and export of protected species
2016,2.87,Documents issued for the import and export of protected species
2017,2.85,Documents issued for the import and export of protected species
2018,2.84,Documents issued for the import and export of protected species
2019,2.53,Documents issued for the import and export of protected species
2020,2.37,Documents issued for the import and export of protected species
2021,2.58,Documents issued for the import and export of protected species
2022,2.3,Documents issued for the import and export of protected species
2023,2.54,Documents issued for the import and export of protected species
2024,2.4,Documents issued for the import and export of protected species
2021,100.0,Seizures by customs authorities concerning the protection of species
2010,30.9,Authorized imports and exports of protected species
2011,31.2,Authorized imports and exports of protected species
2012,31.2,Authorized imports and exports of protected species
2013,31.3,Authorized imports and exports of protected species
2014,31.3,Authorized imports and exports of protected species
2015,31.4,Authorized imports and exports of protected species
2017,31.6,Authorized imports and exports of protected species
2018,31.7,Authorized imports and exports of protected species
2019,31.7,Authorized imports and exports of protected species
2020,31.8,Authorized imports and exports of protected species
2021,31.8,Authorized imports and exports of protected species
2022,31.9,Authorized imports and exports of protected species
2023,31.9,Authorized imports and exports of protected species
