Year,Value,Series
2010,306.3,Documents issued for the import and export of protected species
2011,312.1,Documents issued for the import and export of protected species
2012,336.9,Documents issued for the import and export of protected species
2013,391.4,Documents issued for the import and export of protected species
2014,406.8,Documents issued for the import and export of protected species
2015,404.4,Documents issued for the import and export of protected species
2016,447.8,Documents issued for the import and export of protected species
2017,474.7,Documents issued for the import and export of protected species
2018,490.5,Documents issued for the import and export of protected species
2019,474.5,Documents issued for the import and export of protected species
2020,489.4,Documents issued for the import and export of protected species
2021,560.0,Documents issued for the import and export of protected species
2022,537.3,Documents issued for the import and export of protected species
2023,611.7,Documents issued for the import and export of protected species
2024,624.9,Documents issued for the import and export of protected species
2018,4.0,Seizures by customs authorities concerning the protection of species
2020,4.0,Seizures by customs authorities concerning the protection of species
2022,4.0,Seizures by customs authorities concerning the protection of species
2024,5.0,Seizures by customs authorities concerning the protection of species
2021,100.0,Authorized imports and exports of protected species
