Year,Value,Units,Series,COMMENT_OBS
2010,100.0,Percentage,Wastewater that is safely treated or does not require treatment,
2011,100.0,Percentage,Wastewater that is safely treated or does not require treatment,s
2012,100.0,Percentage,Wastewater that is safely treated or does not require treatment,s
2013,100.0,Percentage,Wastewater that is safely treated or does not require treatment,
2014,100.0,Percentage,Wastewater that is safely treated or does not require treatment,s
2015,100.0,Percentage,Wastewater that is safely treated or does not require treatment,s
2016,100.0,Percentage,Wastewater that is safely treated or does not require treatment,s
2017,100.0,Percentage,Wastewater that is safely treated or does not require treatment,s
2018,100.0,Percentage,Wastewater that is safely treated or does not require treatment,s
2019,100.0,Percentage,Wastewater that is safely treated or does not require treatment,s
2020,100.0,Percentage,Wastewater that is safely treated or does not require treatment,s
2021,100.0,Percentage,Wastewater that is safely treated or does not require treatment,s
