Year,Value,Units,Series
2010,1156.0,Million tonnes,Raw material consumption (RMC)
2011,1249.0,Million tonnes,Raw material consumption (RMC)
2012,1181.0,Million tonnes,Raw material consumption (RMC)
2013,1182.0,Million tonnes,Raw material consumption (RMC)
2014,1187.0,Million tonnes,Raw material consumption (RMC)
2015,1144.0,Million tonnes,Raw material consumption (RMC)
2016,1189.0,Million tonnes,Raw material consumption (RMC)
2017,1223.0,Million tonnes,Raw material consumption (RMC)
2018,1247.0,Million tonnes,Raw material consumption (RMC)
2019,1230.0,Million tonnes,Raw material consumption (RMC)
2020,1145.0,Million tonnes,Raw material consumption (RMC)
2021,1320.0,Million tonnes,Raw material consumption (RMC)
2022,1318.0,Million tonnes,Raw material consumption (RMC)
2010,14.4,Tonnes per capita,Raw material consumption (RMC)
2011,15.6,Tonnes per capita,Raw material consumption (RMC)
2012,14.7,Tonnes per capita,Raw material consumption (RMC)
2013,14.7,Tonnes per capita,Raw material consumption (RMC)
2014,14.7,Tonnes per capita,Raw material consumption (RMC)
2015,14.1,Tonnes per capita,Raw material consumption (RMC)
2016,14.5,Tonnes per capita,Raw material consumption (RMC)
2017,14.9,Tonnes per capita,Raw material consumption (RMC)
2018,15.2,Tonnes per capita,Raw material consumption (RMC)
2019,15.0,Tonnes per capita,Raw material consumption (RMC)
2020,13.9,Tonnes per capita,Raw material consumption (RMC)
2021,16.1,Tonnes per capita,Raw material consumption (RMC)
2022,16.0,Tonnes per capita,Raw material consumption (RMC)
2010,110.2,2020 = 100,Raw material consumption per real GDP
2011,114.8,2020 = 100,Raw material consumption per real GDP
2012,110.7,2020 = 100,Raw material consumption per real GDP
2013,107.8,2020 = 100,Raw material consumption per real GDP
2014,106.5,2020 = 100,Raw material consumption per real GDP
2015,101.0,2020 = 100,Raw material consumption per real GDP
2017,102.0,2020 = 100,Raw material consumption per real GDP
2019,100.2,2020 = 100,Raw material consumption per real GDP
2020,100.0,2020 = 100,Raw material consumption per real GDP
2021,98.8,2020 = 100,Raw material consumption per real GDP
