Year,Units,Value
Households covered by (%):,3G,86.6
Households covered by (%):,3G,88.5
Households covered by (%):,3G,90.4
Households covered by (%):,3G,92.2
Households covered by (%):,3G,92.5
Households covered by (%):,3G,91.9
Households covered by (%):,3G,91.4
Households covered by (%):,3G,90.6
Households covered by (%):,3G,
Households covered by (%):,LTE,2.1
Households covered by (%):,LTE,21.5
Households covered by (%):,LTE,51.7
Households covered by (%):,LTE,81.0
Households covered by (%):,LTE,92.1
Households covered by (%):,LTE,95.7
Households covered by (%):,LTE,96.2
Households covered by (%):,LTE,96.2
Households covered by (%):,LTE,
