Year,sex,COMMENT_OBS,Value
2010,,e,17.4
2011,,,16.8
2012,,e,17.2
2013,,e,17.2
2014,,e,17.4
2015,,e,17.4
2016,,,17.8
2017,,e,17.1
2018,,e,16.8
2019,,e,15.7
2020,,e,16.8
2021,,e,16.6
2022,,e,15.5
2023,,e,15.0
2010,female,e,16.8
2011,female,e,16.8
2012,female,e,17.2
2013,female,e,17.2
2014,female,e,17.4
2015,female,e,17.4
2016,female,e,17.8
2017,female,e,17.1
2018,female,e,16.8
2019,female,e,15.7
2020,female,e,16.8
2021,female,e,16.6
2022,female,e,15.5
2023,female,e,15.0
2010,male,e,14.9
2011,male,e,14.9
2012,male,e,14.9
2013,male,e,15.0
2014,male,e,15.9
2015,male,e,15.9
2016,male,e,15.2
2017,male,e,15.0
2018,male,e,15.2
2019,male,e,13.9
2020,male,e,15.3
2021,male,e,15.4
2022,male,e,14.0
2023,male,e,13.6
