Year,Units,type of subsidy,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,,.,,,
2011,million eur,,.,,,
2012,million eur,,.,,,
2013,million eur,,.,,,
2014,million eur,,,,,
2015,million eur,,r,,,14875.48
2016,million eur,,r,,,15260.54
2017,million eur,,r,,,13617.36
2018,million eur,,r,,,15030.44
2019,million eur,,r,,,14241.55
2020,million eur,,r,,,8956.95
2021,million eur,,,,,9733.3
2022,million eur,,,,,12610.09
2023,million eur,,,,,32634.39
2024,million eur,,,,,11494.0
2010,million eur,tax breaks,.,,,
2011,million eur,tax breaks,.,,,
2012,million eur,tax breaks,.,,,
2013,million eur,tax breaks,.,,,
2014,million eur,tax breaks,.,,,
2015,million eur,tax breaks,r,,,13461.37
2016,million eur,tax breaks,r,,,13523.15
2017,million eur,tax breaks,r,,,12214.42
2018,million eur,tax breaks,r,,,13702.98
2019,million eur,tax breaks,r,,,13695.51
2020,million eur,tax breaks,,,,8124.13
2021,million eur,tax breaks,,,,8927.25
2022,million eur,tax breaks,,,,10817.28
2023,million eur,tax breaks,,,,11099.65
2024,million eur,tax breaks,,,,11494.0
2010,million eur,direct transfers of funds,.,,,
2011,million eur,direct transfers of funds,.,,,
2012,million eur,direct transfers of funds,.,,,
2013,million eur,direct transfers of funds,.,,,
2014,million eur,direct transfers of funds,.,,,
2015,million eur,direct transfers of funds,r,,,1414.11
2016,million eur,direct transfers of funds,r,,,1737.39
2017,million eur,direct transfers of funds,r,,,1402.94
2018,million eur,direct transfers of funds,r,,,1327.46
2019,million eur,direct transfers of funds,r,,,546.04
2020,million eur,direct transfers of funds,,,,832.82
2021,million eur,direct transfers of funds,,,,806.05
2022,million eur,direct transfers of funds,,,,1792.81
2023,million eur,direct transfers of funds,,,,21534.74
2024,million eur,direct transfers of funds,…,,,
2010,percentage of gdp,,.,,,
2011,percentage of gdp,,.,,,
2012,percentage of gdp,,.,,,
2013,percentage of gdp,,.,,,
2014,percentage of gdp,,.,,,
2015,percentage of gdp,,r,,,0.482
2016,percentage of gdp,,r,,,0.484
2017,percentage of gdp,,r,,,0.415
2018,percentage of gdp,,r,,,0.446
2019,percentage of gdp,,r,,,0.411
2020,percentage of gdp,,r,,,0.264
2021,percentage of gdp,,,,,0.271
2022,percentage of gdp,,,,,0.336
2023,percentage of gdp,,,,,0.825
2024,percentage of gdp,,,,,
2010,percentage of gdp,tax breaks,.,,,
2011,percentage of gdp,tax breaks,.,,,
2012,percentage of gdp,tax breaks,.,,,
2013,percentage of gdp,tax breaks,.,,,
2014,percentage of gdp,tax breaks,.,,,
2015,percentage of gdp,tax breaks,r,,,0.436
2016,percentage of gdp,tax breaks,r,,,0.429
2017,percentage of gdp,tax breaks,r,,,0.372
2018,percentage of gdp,tax breaks,r,,,0.407
2019,percentage of gdp,tax breaks,r,,,0.395
2020,percentage of gdp,tax breaks,r,,,0.24
2021,percentage of gdp,tax breaks,,,,0.249
2022,percentage of gdp,tax breaks,,,,0.289
2023,percentage of gdp,tax breaks,,,,0.281
2024,percentage of gdp,tax breaks,,,,0.274
2010,percentage of gdp,direct transfers of funds,.,,,
2011,percentage of gdp,direct transfers of funds,.,,,
2012,percentage of gdp,direct transfers of funds,.,,,
2013,percentage of gdp,direct transfers of funds,.,,,
2014,percentage of gdp,direct transfers of funds,.,,,
2015,percentage of gdp,direct transfers of funds,r,,,0.046
2016,percentage of gdp,direct transfers of funds,r,,,0.055
2017,percentage of gdp,direct transfers of funds,r,,,0.043
2018,percentage of gdp,direct transfers of funds,r,,,0.039
2019,percentage of gdp,direct transfers of funds,r,,,0.016
2020,percentage of gdp,direct transfers of funds,r,,,0.025
2021,percentage of gdp,direct transfers of funds,,,,0.022
2022,percentage of gdp,direct transfers of funds,,,,0.048
2023,percentage of gdp,direct transfers of funds,,,,0.545
2024,percentage of gdp,direct transfers of funds,…,,,
