Year,Units,Series,Value
2021,number,plastic waste on the beaches of the german north sea coast,
2022,number,plastic waste on the beaches of the german north sea coast,999.0
2023,number,plastic waste on the beaches of the german north sea coast,
2010,percentage,fulmar deaths on the german north sea coast with more than 0.1 grams of plastic in the stomach,61.6
2011,percentage,fulmar deaths on the german north sea coast with more than 0.1 grams of plastic in the stomach,61.4
2012,percentage,fulmar deaths on the german north sea coast with more than 0.1 grams of plastic in the stomach,56.6
2013,percentage,fulmar deaths on the german north sea coast with more than 0.1 grams of plastic in the stomach,56.4
2014,percentage,fulmar deaths on the german north sea coast with more than 0.1 grams of plastic in the stomach,59.5
2015,percentage,fulmar deaths on the german north sea coast with more than 0.1 grams of plastic in the stomach,59.0
2016,percentage,fulmar deaths on the german north sea coast with more than 0.1 grams of plastic in the stomach,59.1
2017,percentage,fulmar deaths on the german north sea coast with more than 0.1 grams of plastic in the stomach,58.9
2018,percentage,fulmar deaths on the german north sea coast with more than 0.1 grams of plastic in the stomach,55.8
2019,percentage,fulmar deaths on the german north sea coast with more than 0.1 grams of plastic in the stomach,51.2
2020,percentage,fulmar deaths on the german north sea coast with more than 0.1 grams of plastic in the stomach,50.0
2021,percentage,fulmar deaths on the german north sea coast with more than 0.1 grams of plastic in the stomach,48.5
