Year,Units,time series,Value
2010,hectare,marine protected areas,2573079.952
2011,hectare,marine protected areas,2573084.987
2012,hectare,marine protected areas,2573111.579
2013,hectare,marine protected areas,2576762.745
2014,hectare,marine protected areas,2576762.745
2015,hectare,marine protected areas,2576778.718
2016,hectare,marine protected areas,2576778.718
2017,hectare,marine protected areas,2577709.038
2018,hectare,marine protected areas,2577766.587
2019,hectare,marine protected areas,2581616.907
2020,hectare,marine protected areas,2581616.907
2021,hectare,marine protected areas,2581616.907
2022,hectare,marine protected areas,2581585.92
2010,percentage,marine protected areas,45.26
2011,percentage,marine protected areas,45.26
2012,percentage,marine protected areas,45.261
2013,percentage,marine protected areas,45.325
2014,percentage,marine protected areas,45.325
2015,percentage,marine protected areas,45.325
2016,percentage,marine protected areas,45.325
2017,percentage,marine protected areas,45.342
2018,percentage,marine protected areas,45.343
2019,percentage,marine protected areas,45.41
2020,percentage,marine protected areas,45.41
2021,percentage,marine protected areas,45.41
2022,percentage,marine protected areas,45.41
2010,hectare,effective marine protected areas,2179802.882
2011,hectare,effective marine protected areas,2179803.77
2012,hectare,effective marine protected areas,2179803.77
2013,hectare,effective marine protected areas,2179803.77
2014,hectare,effective marine protected areas,2179803.77
2015,hectare,effective marine protected areas,2179804.385
2016,hectare,effective marine protected areas,2179804.385
2017,hectare,effective marine protected areas,2180865.779
2018,hectare,effective marine protected areas,2180878.567
2019,hectare,effective marine protected areas,2185090.117
2020,hectare,effective marine protected areas,
2021,hectare,effective marine protected areas,
2022,hectare,effective marine protected areas,
2010,percentage,effective marine protected areas,38.343
2011,percentage,effective marine protected areas,38.343
2012,percentage,effective marine protected areas,38.343
2013,percentage,effective marine protected areas,38.343
2014,percentage,effective marine protected areas,38.343
2015,percentage,effective marine protected areas,38.343
2016,percentage,effective marine protected areas,38.343
2017,percentage,effective marine protected areas,38.361
2018,percentage,effective marine protected areas,38.362
2019,percentage,effective marine protected areas,38.436
2020,percentage,effective marine protected areas,
2021,percentage,effective marine protected areas,
2022,percentage,effective marine protected areas,
2010,hectare,marine area,5685070.494
2011,hectare,marine area,5685070.494
2012,hectare,marine area,5685070.494
2013,hectare,marine area,5685070.494
2014,hectare,marine area,5685070.494
2015,hectare,marine area,5685070.494
2016,hectare,marine area,5685070.494
2017,hectare,marine area,5685070.494
2018,hectare,marine area,5685070.494
2019,hectare,marine area,5685070.494
2020,hectare,marine area,5685070.494
2021,hectare,marine area,5685070.494
2022,hectare,marine area,5685070.494
