Year,timeseries,legislation,Value
2010,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2011,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2012,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2013,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2014,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2015,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2016,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2017,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2018,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2019,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2020,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2021,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2022,(1a) national legislation and policy relevant to invasive alien species,convention on biological diversity,1.0
2010,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2011,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2012,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2013,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2014,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2015,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2016,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2017,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2018,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2019,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2020,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2021,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2022,(1a) national legislation and policy relevant to invasive alien species,cartagena protocol,1.0
2010,(1a) national legislation and policy relevant to invasive alien species,international plant protection convention,1.0
