Year,Units,type of classification,level of risk of extinction,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,percentage,fao classification,at risk,.,,,
2011,percentage,fao classification,at risk,.,,,
2012,percentage,fao classification,at risk,.,,,
2013,percentage,fao classification,at risk,.,,,
2014,percentage,fao classification,at risk,.,,,
2015,percentage,fao classification,at risk,,,,45.45
2016,percentage,fao classification,at risk,.,,,
2017,percentage,fao classification,at risk,.,,,
2018,percentage,fao classification,at risk,.,,,
2019,percentage,fao classification,at risk,,,,87.5
2020,percentage,fao classification,at risk,.,,,
2021,percentage,fao classification,at risk,.,,,
2022,percentage,fao classification,at risk,.,,,
2023,percentage,fao classification,at risk,,,,87.95
2010,percentage,fao classification,not at risk,.,,,
2011,percentage,fao classification,not at risk,.,,,
2012,percentage,fao classification,not at risk,.,,,
2013,percentage,fao classification,not at risk,.,,,
2014,percentage,fao classification,not at risk,.,,,
2015,percentage,fao classification,not at risk,,,,54.55
2016,percentage,fao classification,not at risk,.,,,
2017,percentage,fao classification,not at risk,.,,,
2018,percentage,fao classification,not at risk,.,,,
2019,percentage,fao classification,not at risk,,,,12.5
2020,percentage,fao classification,not at risk,.,,,
2021,percentage,fao classification,not at risk,.,,,
2022,percentage,fao classification,not at risk,.,,,
2023,percentage,fao classification,not at risk,,,,12.05
2010,percentage,national classification,not at risk,.,,,
2011,percentage,national classification,not at risk,,,,29.7
2012,percentage,national classification,not at risk,.,,,
2013,percentage,national classification,not at risk,,,,30.7
2014,percentage,national classification,not at risk,.,,,
2015,percentage,national classification,not at risk,,,,28.6
2016,percentage,national classification,not at risk,.,,,
2017,percentage,national classification,not at risk,,,,29.9
2018,percentage,national classification,not at risk,.,,,
2019,percentage,national classification,not at risk,,,,30.0
2020,percentage,national classification,not at risk,.,,,
2021,percentage,national classification,not at risk,,,,28.4
2022,percentage,national classification,not at risk,.,,,
2023,percentage,national classification,not at risk,,,,28.9
2010,percentage,national classification,under observation,.,,,
2011,percentage,national classification,under observation,,,,39.2
2012,percentage,national classification,under observation,.,,,
2013,percentage,national classification,under observation,,,,42.7
2014,percentage,national classification,under observation,.,,,
2015,percentage,national classification,under observation,,,,46.8
2016,percentage,national classification,under observation,.,,,
2017,percentage,national classification,under observation,,,,46.8
2018,percentage,national classification,under observation,.,,,
2019,percentage,national classification,under observation,,,,45.0
2020,percentage,national classification,under observation,.,,,
2021,percentage,national classification,under observation,,,,44.4
2022,percentage,national classification,under observation,.,,,
2023,percentage,national classification,under observation,,,,43.4
2010,percentage,national classification,breeding programs for preservation,.,,,
2011,percentage,national classification,breeding programs for preservation,,,,24.3
2012,percentage,national classification,breeding programs for preservation,.,,,
2013,percentage,national classification,breeding programs for preservation,,,,20.0
2014,percentage,national classification,breeding programs for preservation,.,,,
2015,percentage,national classification,breeding programs for preservation,,,,18.2
2016,percentage,national classification,breeding programs for preservation,.,,,
2017,percentage,national classification,breeding programs for preservation,,,,16.9
2018,percentage,national classification,breeding programs for preservation,.,,,
2019,percentage,national classification,breeding programs for preservation,,,,17.5
2020,percentage,national classification,breeding programs for preservation,.,,,
2021,percentage,national classification,breeding programs for preservation,,,,18.5
2022,percentage,national classification,breeding programs for preservation,.,,,
2023,percentage,national classification,breeding programs for preservation,,,,19.3
2010,percentage,national classification,rudiments remaining,.,,,
2011,percentage,national classification,rudiments remaining,,,,6.8
2012,percentage,national classification,rudiments remaining,.,,,
