Year,COMMENT_OBS,type of account,Value
2010,,,
2011,,,
2012,,,
2013,,,
2014,,,145480.0
2015,,,148138.0
2016,,,150897.0
2017,r,,151359.0
2018,r,,153183.0
2019,r,,155998.0
2020,r,,159637.0
2021,,,163161.0
2010,,online accounts,
2011,,online accounts,
2012,,online accounts,
2013,,online accounts,
2014,,online accounts,78631.0
2015,,online accounts,81488.0
2016,,online accounts,85985.0
2017,r,online accounts,89337.0
2018,r,online accounts,93527.0
2019,r,online accounts,98968.0
2020,r,online accounts,104023.0
2021,,online accounts,110759.0
2010,,current accounts,94982.0
2011,,current accounts,95684.0
2012,,current accounts,96858.0
2013,,current accounts,98512.0
2014,,current accounts,99875.0
2015,,current accounts,101661.0
2016,,current accounts,103844.0
2017,r,current accounts,103846.0
2018,r,current accounts,105927.0
2019,r,current accounts,107946.0
2020,r,current accounts,109636.0
2021,,current accounts,113879.0
