Year,type of proceeding,länder,GeoCode,industry,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,administrative offense proceedings,,,,,,,49686
2025,administrative offense proceedings,,,,,,,52125
2024,administrative offense proceedings,baden-württemberg,code08,,,,,7404
2025,administrative offense proceedings,baden-württemberg,code08,,,,,7074
2024,administrative offense proceedings,baden-württemberg,code08,construction industry,,,,919
2025,administrative offense proceedings,baden-württemberg,code08,construction industry,,,,946
2024,administrative offense proceedings,baden-württemberg,code08,restaurant and lodging industry,,,,1909
2025,administrative offense proceedings,baden-württemberg,code08,restaurant and lodging industry,,,,1830
2024,administrative offense proceedings,baden-württemberg,code08,hairdressing and beauty industry,,,,199
2025,administrative offense proceedings,baden-württemberg,code08,hairdressing and beauty industry,,,,228
2024,administrative offense proceedings,baden-württemberg,code08,"freight forwarding, transportation, and logistics industry",,,,432
2025,administrative offense proceedings,baden-württemberg,code08,"freight forwarding, transportation, and logistics industry",,,,389
2024,administrative offense proceedings,bavaria,code09,,,,,6658
2025,administrative offense proceedings,bavaria,code09,,,,,6569
2024,administrative offense proceedings,bavaria,code09,construction industry,,,,905
2025,administrative offense proceedings,bavaria,code09,construction industry,,,,917
2024,administrative offense proceedings,bavaria,code09,restaurant and lodging industry,,,,1697
2025,administrative offense proceedings,bavaria,code09,restaurant and lodging industry,,,,1742
2024,administrative offense proceedings,bavaria,code09,hairdressing and beauty industry,,,,164
2025,administrative offense proceedings,bavaria,code09,hairdressing and beauty industry,,,,212
2024,administrative offense proceedings,bavaria,code09,"freight forwarding, transportation, and logistics industry",,,,702
2025,administrative offense proceedings,bavaria,code09,"freight forwarding, transportation, and logistics industry",,,,442
2024,administrative offense proceedings,berlin,code11,,,,,1714
2025,administrative offense proceedings,berlin,code11,,,,,2452
2024,administrative offense proceedings,berlin,code11,construction industry,,,,150
2025,administrative offense proceedings,berlin,code11,construction industry,,,,379
2024,administrative offense proceedings,berlin,code11,restaurant and lodging industry,,,,718
2025,administrative offense proceedings,berlin,code11,restaurant and lodging industry,,,,1038
2024,administrative offense proceedings,berlin,code11,hairdressing and beauty industry,,,,95
2025,administrative offense proceedings,berlin,code11,hairdressing and beauty industry,,,,117
2024,administrative offense proceedings,berlin,code11,"freight forwarding, transportation, and logistics industry",,,,108
2025,administrative offense proceedings,berlin,code11,"freight forwarding, transportation, and logistics industry",,,,143
2024,administrative offense proceedings,brandenburg,code12,,,,,1355
2025,administrative offense proceedings,brandenburg,code12,,,,,1335
2024,administrative offense proceedings,brandenburg,code12,construction industry,,,,195
2025,administrative offense proceedings,brandenburg,code12,construction industry,,,,175
2024,administrative offense proceedings,brandenburg,code12,restaurant and lodging industry,,,,320
2025,administrative offense proceedings,brandenburg,code12,restaurant and lodging industry,,,,398
2024,administrative offense proceedings,brandenburg,code12,hairdressing and beauty industry,,,,29
2025,administrative offense proceedings,brandenburg,code12,hairdressing and beauty industry,,,,54
2024,administrative offense proceedings,brandenburg,code12,"freight forwarding, transportation, and logistics industry",,,,49
2025,administrative offense proceedings,brandenburg,code12,"freight forwarding, transportation, and logistics industry",,,,87
2024,administrative offense proceedings,bremen,code04,,,,,2028
2025,administrative offense proceedings,bremen,code04,,,,,1649
2024,administrative offense proceedings,bremen,code04,construction industry,,,,183
2025,administrative offense proceedings,bremen,code04,construction industry,,,,192
2024,administrative offense proceedings,bremen,code04,restaurant and lodging industry,,,,338
2025,administrative offense proceedings,bremen,code04,restaurant and lodging industry,,,,361
2024,administrative offense proceedings,bremen,code04,hairdressing and beauty industry,,,,23
2025,administrative offense proceedings,bremen,code04,hairdressing and beauty industry,,,,35
2024,administrative offense proceedings,bremen,code04,"freight forwarding, transportation, and logistics industry",,,,99
2025,administrative offense proceedings,bremen,code04,"freight forwarding, transportation, and logistics industry",,,,47
2024,administrative offense proceedings,hamburg,code02,,,,,1234
2025,administrative offense proceedings,hamburg,code02,,,,,1619
2024,administrative offense proceedings,hamburg,code02,construction industry,,,,140
2025,administrative offense proceedings,hamburg,code02,construction industry,,,,103
2024,administrative offense proceedings,hamburg,code02,restaurant and lodging industry,,,,226
2025,administrative offense proceedings,hamburg,code02,restaurant and lodging industry,,,,262
2024,administrative offense proceedings,hamburg,code02,hairdressing and beauty industry,,,,40
2025,administrative offense proceedings,hamburg,code02,hairdressing and beauty industry,,,,56
2024,administrative offense proceedings,hamburg,code02,"freight forwarding, transportation, and logistics industry",,,,90
2025,administrative offense proceedings,hamburg,code02,"freight forwarding, transportation, and logistics industry",,,,120
2024,administrative offense proceedings,hesse,code06,,,,,4383
2025,administrative offense proceedings,hesse,code06,,,,,4611
2024,administrative offense proceedings,hesse,code06,construction industry,,,,870
2025,administrative offense proceedings,hesse,code06,construction industry,,,,788
2024,administrative offense proceedings,hesse,code06,restaurant and lodging industry,,,,843
2025,administrative offense proceedings,hesse,code06,restaurant and lodging industry,,,,922
2024,administrative offense proceedings,hesse,code06,hairdressing and beauty industry,,,,89
2025,administrative offense proceedings,hesse,code06,hairdressing and beauty industry,,,,163
2024,administrative offense proceedings,hesse,code06,"freight forwarding, transportation, and logistics industry",,,,317
2025,administrative offense proceedings,hesse,code06,"freight forwarding, transportation, and logistics industry",,,,326
2024,administrative offense proceedings,mecklenburg western pomerania,code13,,,,,759
2025,administrative offense proceedings,mecklenburg western pomerania,code13,,,,,902
2024,administrative offense proceedings,mecklenburg western pomerania,code13,construction industry,,,,36
2025,administrative offense proceedings,mecklenburg western pomerania,code13,construction industry,,,,62
2024,administrative offense proceedings,mecklenburg western pomerania,code13,restaurant and lodging industry,,,,243
2025,administrative offense proceedings,mecklenburg western pomerania,code13,restaurant and lodging industry,,,,210
2024,administrative offense proceedings,mecklenburg western pomerania,code13,hairdressing and beauty industry,,,,64
2025,administrative offense proceedings,mecklenburg western pomerania,code13,hairdressing and beauty industry,,,,35
2024,administrative offense proceedings,mecklenburg western pomerania,code13,"freight forwarding, transportation, and logistics industry",,,,34
2025,administrative offense proceedings,mecklenburg western pomerania,code13,"freight forwarding, transportation, and logistics industry",,,,9
2024,administrative offense proceedings,lower saxony,code03,,,,,3447
2025,administrative offense proceedings,lower saxony,code03,,,,,4180
2024,administrative offense proceedings,lower saxony,code03,construction industry,,,,541
2025,administrative offense proceedings,lower saxony,code03,construction industry,,,,598
2024,administrative offense proceedings,lower saxony,code03,restaurant and lodging industry,,,,1130
2025,administrative offense proceedings,lower saxony,code03,restaurant and lodging industry,,,,1438
2024,administrative offense proceedings,lower saxony,code03,hairdressing and beauty industry,,,,79
2025,administrative offense proceedings,lower saxony,code03,hairdressing and beauty industry,,,,172
2024,administrative offense proceedings,lower saxony,code03,"freight forwarding, transportation, and logistics industry",,,,208
2025,administrative offense proceedings,lower saxony,code03,"freight forwarding, transportation, and logistics industry",,,,253
2024,administrative offense proceedings,north rhine-westphalia,code05,,,,,10079
2025,administrative offense proceedings,north rhine-westphalia,code05,,,,,11214
2024,administrative offense proceedings,north rhine-westphalia,code05,construction industry,,,,1402
2025,administrative offense proceedings,north rhine-westphalia,code05,construction industry,,,,1414
2024,administrative offense proceedings,north rhine-westphalia,code05,restaurant and lodging industry,,,,2313
