Year,Units,measurement parameter,type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,commitments,official development assistance,,,,12471.827
2011,million eur,commitments,official development assistance,,,,14158.814
2012,million eur,commitments,official development assistance,,,,12867.861
2013,million eur,commitments,official development assistance,,,,15101.429
2014,million eur,commitments,official development assistance,,,,18746.966
2015,million eur,commitments,official development assistance,,,,19169.749
2016,million eur,commitments,official development assistance,,,,25913.433
2017,million eur,commitments,official development assistance,,,,26889.847
2018,million eur,commitments,official development assistance,,,,27347.053
2019,million eur,commitments,official development assistance,,,,27574.453
2020,million eur,commitments,official development assistance,,,,31424.422
2021,million eur,commitments,official development assistance,,,,33668.9
2022,million eur,commitments,official development assistance,,,,39437.988
2023,million eur,commitments,official development assistance,,,,43596.412
2024,million eur,commitments,official development assistance,,,,35061.803
2025,million eur,commitments,official development assistance,…,,,
2010,million eur,gross disbursements (net),official development assistance,,,,9803.945
2011,million eur,gross disbursements (net),official development assistance,,,,10135.643
2012,million eur,gross disbursements (net),official development assistance,,,,10066.924
2013,million eur,gross disbursements (net),official development assistance,,,,10716.728
2014,million eur,gross disbursements (net),official development assistance,,,,12485.947
2015,million eur,gross disbursements (net),official development assistance,,,,16173.103
2016,million eur,gross disbursements (net),official development assistance,,,,22368.486
2017,million eur,gross disbursements (net),official development assistance,,,,22181.991
2018,million eur,gross disbursements (net),official development assistance,,,,21750.512
2019,million eur,gross disbursements (net),official development assistance,,,,21548.52
2020,million eur,gross disbursements (net),official development assistance,,,,25728.63
2021,million eur,gross disbursements (net),official development assistance,,,,27444.427
2022,million eur,gross disbursements (net),official development assistance,,,,34655.141
2023,million eur,gross disbursements (net),official development assistance,,,,38151.038
2024,million eur,gross disbursements (net),official development assistance,,,,30742.34
2025,million eur,gross disbursements (net),official development assistance,…,,,24853.138
2010,million eur,gross disbursements (net),other official flows,,,,51.399
2011,million eur,gross disbursements (net),other official flows,,,,-103.682
2012,million eur,gross disbursements (net),other official flows,,,,-70.818
2013,million eur,gross disbursements (net),other official flows,,,,-64.06
2014,million eur,gross disbursements (net),other official flows,,,,115.461
2015,million eur,gross disbursements (net),other official flows,,,,1194.191
2016,million eur,gross disbursements (net),other official flows,,,,-414.262
2017,million eur,gross disbursements (net),other official flows,,,,-316.314
2018,million eur,gross disbursements (net),other official flows,,,,-99.524
2019,million eur,gross disbursements (net),other official flows,,,,12.237
2020,million eur,gross disbursements (net),other official flows,,,,370.699
2021,million eur,gross disbursements (net),other official flows,,,,1075.589
2022,million eur,gross disbursements (net),other official flows,,,,219.822
2023,million eur,gross disbursements (net),other official flows,,,,35.331
2024,million eur,gross disbursements (net),other official flows,,,,153.317
2025,million eur,gross disbursements (net),other official flows,…,,,
2010,million eur,gross disbursements (net),officially supported export credits,,,,2798.952
2011,million eur,gross disbursements (net),officially supported export credits,,,,7392.317
2012,million eur,gross disbursements (net),officially supported export credits,,,,4879.647
2013,million eur,gross disbursements (net),officially supported export credits,,,,4083.012
2014,million eur,gross disbursements (net),officially supported export credits,,,,-120.985
2015,million eur,gross disbursements (net),officially supported export credits,.,,,
2016,million eur,gross disbursements (net),officially supported export credits,,,,3119.404
2017,million eur,gross disbursements (net),officially supported export credits,,,,5.622
2018,million eur,gross disbursements (net),officially supported export credits,,,,1176.4
2019,million eur,gross disbursements (net),officially supported export credits,,,,-1739.899
2020,million eur,gross disbursements (net),officially supported export credits,,,,-1072.491
2021,million eur,gross disbursements (net),officially supported export credits,,,,-1064.935
2022,million eur,gross disbursements (net),officially supported export credits,,,,-1305.845
2023,million eur,gross disbursements (net),officially supported export credits,,,,9695.916
2024,million eur,gross disbursements (net),officially supported export credits,,,,1437.365
2025,million eur,gross disbursements (net),officially supported export credits,…,,,
2010,million eur,gross disbursements (net),private sector flows at market terms,,,,17676.13
2011,million eur,gross disbursements (net),private sector flows at market terms,,,,21847.362
2012,million eur,gross disbursements (net),private sector flows at market terms,,,,11045.448
2013,million eur,gross disbursements (net),private sector flows at market terms,,,,24190.103
2014,million eur,gross disbursements (net),private sector flows at market terms,,,,26319.59
2015,million eur,gross disbursements (net),private sector flows at market terms,.,,,
2016,million eur,gross disbursements (net),private sector flows at market terms,,,,18129.237
2017,million eur,gross disbursements (net),private sector flows at market terms,,,,24478.202
2018,million eur,gross disbursements (net),private sector flows at market terms,,,,20063.268
2019,million eur,gross disbursements (net),private sector flows at market terms,,,,16505.507
2020,million eur,gross disbursements (net),private sector flows at market terms,,,,12869.21
2021,million eur,gross disbursements (net),private sector flows at market terms,,,,29778.905
2022,million eur,gross disbursements (net),private sector flows at market terms,,,,13803.579
2023,million eur,gross disbursements (net),private sector flows at market terms,,,,18862.025
2024,million eur,gross disbursements (net),private sector flows at market terms,,,,27165.21
2025,million eur,gross disbursements (net),private sector flows at market terms,…,,,
2010,million eur,gross disbursements (net),private grants,,,,1105.238
2011,million eur,gross disbursements (net),private grants,,,,1149.062
2012,million eur,gross disbursements (net),private grants,,,,1088.466
2013,million eur,gross disbursements (net),private grants,,,,1066.219
2014,million eur,gross disbursements (net),private grants,,,,1148.483
2015,million eur,gross disbursements (net),private grants,,,,1244.961
2016,million eur,gross disbursements (net),private grants,,,,1287.41
2017,million eur,gross disbursements (net),private grants,,,,1321.772
2018,million eur,gross disbursements (net),private grants,,,,1154.892
2019,million eur,gross disbursements (net),private grants,,,,1364.709
2020,million eur,gross disbursements (net),private grants,,,,1328.716
2021,million eur,gross disbursements (net),private grants,,,,1279.059
2022,million eur,gross disbursements (net),private grants,,,,1722.377
2023,million eur,gross disbursements (net),private grants,,,,1457.977
2024,million eur,gross disbursements (net),private grants,,,,1715.161
2025,million eur,gross disbursements (net),private grants,…,,,
2010,"million usd, constant prices (2024)",commitments,official development assistance,,,,19132.62
2011,"million usd, constant prices (2024)",commitments,official development assistance,,,,21456.29
2012,"million usd, constant prices (2024)",commitments,official development assistance,,,,19224.13
2013,"million usd, constant prices (2024)",commitments,official development assistance,,,,22119.33
2014,"million usd, constant prices (2024)",commitments,official development assistance,,,,26947.88
2015,"million usd, constant prices (2024)",commitments,official development assistance,,,,27083.46
2016,"million usd, constant prices (2024)",commitments,official development assistance,,,,36155.15
2017,"million usd, constant prices (2024)",commitments,official development assistance,,,,36973.41
2018,"million usd, constant prices (2024)",commitments,official development assistance,,,,36911.09
2019,"million usd, constant prices (2024)",commitments,official development assistance,,,,36483.43
2020,"million usd, constant prices (2024)",commitments,official development assistance,,,,40861.19
2021,"million usd, constant prices (2024)",commitments,official development assistance,,,,42632.49
2022,"million usd, constant prices (2024)",commitments,official development assistance,,,,46924.38
2023,"million usd, constant prices (2024)",commitments,official development assistance,,,,48617.03
2024,"million usd, constant prices (2024)",commitments,official development assistance,,,,37921.05
2025,"million usd, constant prices (2024)",commitments,official development assistance,…,,,
2010,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,15039.91
2011,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,15359.57
2012,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,15039.63
2013,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,15696.98
2014,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,17947.96
2015,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,22849.73
2016,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,31209.14
2017,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,30500.13
2018,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,29357.28
2019,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,28510.59
2020,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,33454.95
2021,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,34750.89
2022,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,41233.62
2023,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,42544.56
2024,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,,,,33249.34
2025,"million usd, constant prices (2024)",gross disbursements (net),official development assistance,…,,,26151.12
2010,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,78.85
2011,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,-157.12
2012,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,-105.8
2013,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,-93.83
2014,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,165.97
2015,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,1687.18
2016,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,-577.99
2017,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,-434.93
2018,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,-134.33
2019,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,16.19
2020,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,482.02
2021,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,1361.94
2022,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,261.55
2023,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,39.4
2024,"million usd, constant prices (2024)",gross disbursements (net),other official flows,,,,165.82
2025,"million usd, constant prices (2024)",gross disbursements (net),other official flows,…,,,
2010,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,4293.78
2011,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,11202.33
2012,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,7290.02
2013,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,5980.46
2014,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,-173.91
2015,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,.,,,
2016,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,4352.28
2017,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,7.73
2018,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,1587.82
2019,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,-2302.04
2020,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,-1394.56
2021,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,-1348.45
2022,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,-1553.73
2023,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,10812.51
2024,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,,,,1554.58
2025,"million usd, constant prices (2024)",gross disbursements (net),officially supported export credits,…,,,
2010,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,27116.37
2011,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,33107.53
2012,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,16501.51
2013,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,35431.67
2014,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,37833.17
2015,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,.,,,
2016,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,25294.42
2017,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,33657.41
2018,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,27079.96
2019,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,21838.24
2020,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,16733.84
2021,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,37706.87
2022,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,16423.87
2023,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,21034.2
2024,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,29380.5
2025,"million usd, constant prices (2024)",gross disbursements (net),private sector flows at market terms,,,,
2010,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1695.51
2011,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1741.29
2012,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1626.13
2013,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1561.71
2014,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1650.89
2015,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1758.91
2016,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1796.23
2017,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1817.43
2018,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1558.79
2019,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1805.63
2020,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1727.73
2021,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1619.58
2022,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,2049.33
2023,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1625.88
2024,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,1855.03
2025,"million usd, constant prices (2024)",gross disbursements (net),private grants,,,,
