Year,Units,timeseries,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,number,victims of non-sexual harassment,,,,,,28870.0
2011,number,victims of non-sexual harassment,,,,,,26876.0
2012,number,victims of non-sexual harassment,,,,,,26360.0
2013,number,victims of non-sexual harassment,,,,,,25517.0
2014,number,victims of non-sexual harassment,,,,,,23303.0
2015,number,victims of non-sexual harassment,,,,,,21070.0
2016,number,victims of non-sexual harassment,,,,,,19949.0
2017,number,victims of non-sexual harassment,,,r,,,19750.0
2018,number,victims of non-sexual harassment,,,r,,,20280.0
2019,number,victims of non-sexual harassment,,,r,,,20204.0
2020,number,victims of non-sexual harassment,,,r,,,20997.0
2021,number,victims of non-sexual harassment,,,r,,,22091.0
2022,number,victims of non-sexual harassment,,,r,,,23082.0
2023,number,victims of non-sexual harassment,,,r,,,25138.0
2024,number,victims of non-sexual harassment,,,,,,26703.0
2010,number,victims of non-sexual harassment,,female,,,,22909.0
2011,number,victims of non-sexual harassment,,female,,,,21414.0
2012,number,victims of non-sexual harassment,,female,,,,21217.0
2013,number,victims of non-sexual harassment,,female,,,,20455.0
2014,number,victims of non-sexual harassment,,female,,,,18682.0
2015,number,victims of non-sexual harassment,,female,,,,16941.0
2016,number,victims of non-sexual harassment,,female,,,,16115.0
2017,number,victims of non-sexual harassment,,female,r,,,15999.0
2018,number,victims of non-sexual harassment,,female,r,,,16456.0
2019,number,victims of non-sexual harassment,,female,r,,,16432.0
2020,number,victims of non-sexual harassment,,female,r,,,16974.0
2021,number,victims of non-sexual harassment,,female,r,,,17693.0
2022,number,victims of non-sexual harassment,,female,r,,,18628.0
2023,number,victims of non-sexual harassment,,female,r,,,20089.0
2024,number,victims of non-sexual harassment,,female,,,,21382.0
2010,number,victims of non-sexual harassment,,male,,,,5961.0
2011,number,victims of non-sexual harassment,,male,,,,5462.0
2012,number,victims of non-sexual harassment,,male,,,,5143.0
2013,number,victims of non-sexual harassment,,male,,,,5062.0
2014,number,victims of non-sexual harassment,,male,,,,4621.0
2015,number,victims of non-sexual harassment,,male,,,,4129.0
2016,number,victims of non-sexual harassment,,male,,,,3834.0
2017,number,victims of non-sexual harassment,,male,r,,,3751.0
2018,number,victims of non-sexual harassment,,male,r,,,3824.0
2019,number,victims of non-sexual harassment,,male,r,,,3772.0
2020,number,victims of non-sexual harassment,,male,r,,,4023.0
2021,number,victims of non-sexual harassment,,male,r,,,4398.0
2022,number,victims of non-sexual harassment,,male,r,,,4454.0
2023,number,victims of non-sexual harassment,,male,r,,,5049.0
2024,number,victims of non-sexual harassment,,male,,,,5321.0
2010,number,victims of non-sexual harassment,13 years and younger,,,,,443.0
2011,number,victims of non-sexual harassment,13 years and younger,,,,,416.0
2012,number,victims of non-sexual harassment,13 years and younger,,,,,432.0
2013,number,victims of non-sexual harassment,13 years and younger,,,,,427.0
2014,number,victims of non-sexual harassment,13 years and younger,,,,,377.0
2015,number,victims of non-sexual harassment,13 years and younger,,,,,343.0
2016,number,victims of non-sexual harassment,13 years and younger,,,,,336.0
2017,number,victims of non-sexual harassment,13 years and younger,,r,,,338.0
2018,number,victims of non-sexual harassment,13 years and younger,,r,,,346.0
2019,number,victims of non-sexual harassment,13 years and younger,,r,,,398.0
2020,number,victims of non-sexual harassment,13 years and younger,,r,,,380.0
2021,number,victims of non-sexual harassment,13 years and younger,,r,,,404.0
2022,number,victims of non-sexual harassment,13 years and younger,,r,,,460.0
2023,number,victims of non-sexual harassment,13 years and younger,,r,,,579.0
2024,number,victims of non-sexual harassment,13 years and younger,,,,,681.0
2010,number,victims of non-sexual harassment,13 years and younger,female,,,,272.0
2011,number,victims of non-sexual harassment,13 years and younger,female,,,,263.0
2012,number,victims of non-sexual harassment,13 years and younger,female,,,,310.0
2013,number,victims of non-sexual harassment,13 years and younger,female,,,,273.0
2014,number,victims of non-sexual harassment,13 years and younger,female,,,,260.0
2015,number,victims of non-sexual harassment,13 years and younger,female,,,,221.0
2016,number,victims of non-sexual harassment,13 years and younger,female,,,,221.0
2017,number,victims of non-sexual harassment,13 years and younger,female,r,,,212.0
2018,number,victims of non-sexual harassment,13 years and younger,female,r,,,239.0
2019,number,victims of non-sexual harassment,13 years and younger,female,r,,,241.0
2020,number,victims of non-sexual harassment,13 years and younger,female,r,,,226.0
2021,number,victims of non-sexual harassment,13 years and younger,female,r,,,264.0
2022,number,victims of non-sexual harassment,13 years and younger,female,r,,,313.0
2023,number,victims of non-sexual harassment,13 years and younger,female,r,,,353.0
2024,number,victims of non-sexual harassment,13 years and younger,female,,,,404.0
2010,number,victims of non-sexual harassment,13 years and younger,male,,,,171.0
2011,number,victims of non-sexual harassment,13 years and younger,male,,,,153.0
2012,number,victims of non-sexual harassment,13 years and younger,male,,,,122.0
2013,number,victims of non-sexual harassment,13 years and younger,male,,,,154.0
2014,number,victims of non-sexual harassment,13 years and younger,male,,,,117.0
2015,number,victims of non-sexual harassment,13 years and younger,male,,,,122.0
2016,number,victims of non-sexual harassment,13 years and younger,male,,,,115.0
2017,number,victims of non-sexual harassment,13 years and younger,male,r,,,126.0
2018,number,victims of non-sexual harassment,13 years and younger,male,r,,,107.0
2019,number,victims of non-sexual harassment,13 years and younger,male,r,,,157.0
2020,number,victims of non-sexual harassment,13 years and younger,male,r,,,154.0
2021,number,victims of non-sexual harassment,13 years and younger,male,r,,,140.0
2022,number,victims of non-sexual harassment,13 years and younger,male,r,,,147.0
2023,number,victims of non-sexual harassment,13 years and younger,male,r,,,226.0
2024,number,victims of non-sexual harassment,13 years and younger,male,,,,277.0
2010,number,victims of non-sexual harassment,14 to under 18 years,,,,,1289.0
2011,number,victims of non-sexual harassment,14 to under 18 years,,,,,1227.0
2012,number,victims of non-sexual harassment,14 to under 18 years,,,,,1101.0
2013,number,victims of non-sexual harassment,14 to under 18 years,,,,,1143.0
2014,number,victims of non-sexual harassment,14 to under 18 years,,,,,1063.0
2015,number,victims of non-sexual harassment,14 to under 18 years,,,,,817.0
2016,number,victims of non-sexual harassment,14 to under 18 years,,,,,806.0
2017,number,victims of non-sexual harassment,14 to under 18 years,,r,,,829.0
2018,number,victims of non-sexual harassment,14 to under 18 years,,r,,,798.0
2019,number,victims of non-sexual harassment,14 to under 18 years,,r,,,821.0
2020,number,victims of non-sexual harassment,14 to under 18 years,,r,,,751.0
2021,number,victims of non-sexual harassment,14 to under 18 years,,r,,,803.0
2022,number,victims of non-sexual harassment,14 to under 18 years,,r,,,822.0
2023,number,victims of non-sexual harassment,14 to under 18 years,,r,,,928.0
2024,number,victims of non-sexual harassment,14 to under 18 years,,,,,1019.0
2010,number,victims of non-sexual harassment,14 to under 18 years,female,,,,1132.0
2011,number,victims of non-sexual harassment,14 to under 18 years,female,,,,1087.0
2012,number,victims of non-sexual harassment,14 to under 18 years,female,,,,991.0
2013,number,victims of non-sexual harassment,14 to under 18 years,female,,,,1015.0
2014,number,victims of non-sexual harassment,14 to under 18 years,female,,,,943.0
2015,number,victims of non-sexual harassment,14 to under 18 years,female,,,,716.0
2016,number,victims of non-sexual harassment,14 to under 18 years,female,,,,710.0
2017,number,victims of non-sexual harassment,14 to under 18 years,female,r,,,718.0
2018,number,victims of non-sexual harassment,14 to under 18 years,female,r,,,724.0
2019,number,victims of non-sexual harassment,14 to under 18 years,female,r,,,704.0
2020,number,victims of non-sexual harassment,14 to under 18 years,female,r,,,624.0
2021,number,victims of non-sexual harassment,14 to under 18 years,female,r,,,672.0
2022,number,victims of non-sexual harassment,14 to under 18 years,female,r,,,686.0
2023,number,victims of non-sexual harassment,14 to under 18 years,female,r,,,786.0
2024,number,victims of non-sexual harassment,14 to under 18 years,female,,,,820.0
2010,number,victims of non-sexual harassment,14 to under 18 years,male,,,,157.0
2011,number,victims of non-sexual harassment,14 to under 18 years,male,,,,140.0
2012,number,victims of non-sexual harassment,14 to under 18 years,male,,,,110.0
2013,number,victims of non-sexual harassment,14 to under 18 years,male,,,,128.0
2014,number,victims of non-sexual harassment,14 to under 18 years,male,,,,120.0
2015,number,victims of non-sexual harassment,14 to under 18 years,male,,,,101.0
2016,number,victims of non-sexual harassment,14 to under 18 years,male,,,,96.0
2017,number,victims of non-sexual harassment,14 to under 18 years,male,r,,,111.0
2018,number,victims of non-sexual harassment,14 to under 18 years,male,r,,,74.0
2019,number,victims of non-sexual harassment,14 to under 18 years,male,r,,,117.0
2020,number,victims of non-sexual harassment,14 to under 18 years,male,r,,,127.0
2021,number,victims of non-sexual harassment,14 to under 18 years,male,r,,,131.0
2022,number,victims of non-sexual harassment,14 to under 18 years,male,r,,,136.0
2023,number,victims of non-sexual harassment,14 to under 18 years,male,r,,,142.0
2024,number,victims of non-sexual harassment,14 to under 18 years,male,,,,199.0
2010,number,victims of non-sexual harassment,18 to under 21 years,,,,,2467.0
2011,number,victims of non-sexual harassment,18 to under 21 years,,,,,2202.0
2012,number,victims of non-sexual harassment,18 to under 21 years,,,,,2036.0
2013,number,victims of non-sexual harassment,18 to under 21 years,,,,,1769.0
2014,number,victims of non-sexual harassment,18 to under 21 years,,,,,1654.0
2015,number,victims of non-sexual harassment,18 to under 21 years,,,,,1402.0
2016,number,victims of non-sexual harassment,18 to under 21 years,,,,,1253.0
2017,number,victims of non-sexual harassment,18 to under 21 years,,r,,,1340.0
2018,number,victims of non-sexual harassment,18 to under 21 years,,r,,,1462.0
2019,number,victims of non-sexual harassment,18 to under 21 years,,r,,,1279.0
2020,number,victims of non-sexual harassment,18 to under 21 years,,r,,,1385.0
2021,number,victims of non-sexual harassment,18 to under 21 years,,r,,,1393.0
2022,number,victims of non-sexual harassment,18 to under 21 years,,r,,,1321.0
2023,number,victims of non-sexual harassment,18 to under 21 years,,r,,,1421.0
2024,number,victims of non-sexual harassment,18 to under 21 years,,,,,1593.0
2010,number,victims of non-sexual harassment,18 to under 21 years,female,,,,2185.0
2011,number,victims of non-sexual harassment,18 to under 21 years,female,,,,1946.0
2012,number,victims of non-sexual harassment,18 to under 21 years,female,,,,1804.0
2013,number,victims of non-sexual harassment,18 to under 21 years,female,,,,1586.0
2014,number,victims of non-sexual harassment,18 to under 21 years,female,,,,1477.0
2015,number,victims of non-sexual harassment,18 to under 21 years,female,,,,1265.0
2016,number,victims of non-sexual harassment,18 to under 21 years,female,,,,1136.0
2017,number,victims of non-sexual harassment,18 to under 21 years,female,r,,,1214.0
2018,number,victims of non-sexual harassment,18 to under 21 years,female,r,,,1298.0
2019,number,victims of non-sexual harassment,18 to under 21 years,female,r,,,1149.0
2020,number,victims of non-sexual harassment,18 to under 21 years,female,r,,,1252.0
2021,number,victims of non-sexual harassment,18 to under 21 years,female,r,,,1226.0
2022,number,victims of non-sexual harassment,18 to under 21 years,female,r,,,1174.0
2023,number,victims of non-sexual harassment,18 to under 21 years,female,r,,,1223.0
2024,number,victims of non-sexual harassment,18 to under 21 years,female,,,,1388.0
2010,number,victims of non-sexual harassment,18 to under 21 years,male,,,,282.0
2011,number,victims of non-sexual harassment,18 to under 21 years,male,,,,256.0
2012,number,victims of non-sexual harassment,18 to under 21 years,male,,,,232.0
2013,number,victims of non-sexual harassment,18 to under 21 years,male,,,,183.0
2014,number,victims of non-sexual harassment,18 to under 21 years,male,,,,177.0
2015,number,victims of non-sexual harassment,18 to under 21 years,male,,,,137.0
2016,number,victims of non-sexual harassment,18 to under 21 years,male,,,,117.0
2017,number,victims of non-sexual harassment,18 to under 21 years,male,r,,,126.0
2018,number,victims of non-sexual harassment,18 to under 21 years,male,r,,,164.0
2019,number,victims of non-sexual harassment,18 to under 21 years,male,r,,,130.0
2020,number,victims of non-sexual harassment,18 to under 21 years,male,r,,,133.0
2021,number,victims of non-sexual harassment,18 to under 21 years,male,r,,,167.0
2022,number,victims of non-sexual harassment,18 to under 21 years,male,r,,,147.0
2023,number,victims of non-sexual harassment,18 to under 21 years,male,r,,,198.0
2024,number,victims of non-sexual harassment,18 to under 21 years,male,,,,205.0
2010,number,victims of non-sexual harassment,21 to under 60 years,,,,,23019.0
2011,number,victims of non-sexual harassment,21 to under 60 years,,,,,21536.0
2012,number,victims of non-sexual harassment,21 to under 60 years,,,,,21296.0
2013,number,victims of non-sexual harassment,21 to under 60 years,,,,,20738.0
2014,number,victims of non-sexual harassment,21 to under 60 years,,,,,18814.0
2015,number,victims of non-sexual harassment,21 to under 60 years,,,,,17239.0
2016,number,victims of non-sexual harassment,21 to under 60 years,,,,,16303.0
2017,number,victims of non-sexual harassment,21 to under 60 years,,r,,,16060.0
2018,number,victims of non-sexual harassment,21 to under 60 years,,r,,,16423.0
2019,number,victims of non-sexual harassment,21 to under 60 years,,r,,,16440.0
2020,number,victims of non-sexual harassment,21 to under 60 years,,r,,,17193.0
2021,number,victims of non-sexual harassment,21 to under 60 years,,r,,,18068.0
2022,number,victims of non-sexual harassment,21 to under 60 years,,r,,,18925.0
2023,number,victims of non-sexual harassment,21 to under 60 years,,r,,,20453.0
2024,number,victims of non-sexual harassment,21 to under 60 years,,,,,21639.0
