Year,Units,sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"million usd, constant prices (2023)",,,,,2721.296204
2011,"million usd, constant prices (2023)",,,,,2441.757211
2012,"million usd, constant prices (2023)",,,,,1993.620085
2013,"million usd, constant prices (2023)",,,,,2553.43237
2014,"million usd, constant prices (2023)",,,,,2017.591427
2015,"million usd, constant prices (2023)",,,,,3854.376718
2016,"million usd, constant prices (2023)",,,,,3984.932619
2017,"million usd, constant prices (2023)",,,,,3591.517135
2018,"million usd, constant prices (2023)",,,,,4116.074411
2019,"million usd, constant prices (2023)",,,,,4222.763177
2020,"million usd, constant prices (2023)",,,,,4053.46495
2021,"million usd, constant prices (2023)",,,,,3341.49764
2022,"million usd, constant prices (2023)",,,,,4077.529789
2023,"million usd, constant prices (2023)",,,,,3998.064433
2024,"million usd, constant prices (2023)",,,,,4951.160484
2010,"million usd, constant prices (2023)",water supply & sanitation,,,,663.277872
2011,"million usd, constant prices (2023)",water supply & sanitation,,,,721.906235
2012,"million usd, constant prices (2023)",water supply & sanitation,,,,647.472574
2013,"million usd, constant prices (2023)",water supply & sanitation,,,,691.191449
2014,"million usd, constant prices (2023)",water supply & sanitation,,,,95.006743
2015,"million usd, constant prices (2023)",water supply & sanitation,,,,1016.743106
2016,"million usd, constant prices (2023)",water supply & sanitation,,,,999.487083
2017,"million usd, constant prices (2023)",water supply & sanitation,,,,1055.998531
2018,"million usd, constant prices (2023)",water supply & sanitation,,,,1088.453571
2019,"million usd, constant prices (2023)",water supply & sanitation,,,,1015.539574
2020,"million usd, constant prices (2023)",water supply & sanitation,,,,1132.564694
2021,"million usd, constant prices (2023)",water supply & sanitation,,,,886.783804
2022,"million usd, constant prices (2023)",water supply & sanitation,,,,937.887546
2023,"million usd, constant prices (2023)",water supply & sanitation,,,,958.526412
2024,"million usd, constant prices (2023)",water supply & sanitation,,,,1360.072059
2010,"million usd, constant prices (2023)",transport and storage,,,,392.445209
2011,"million usd, constant prices (2023)",transport and storage,,,,273.620189
2012,"million usd, constant prices (2023)",transport and storage,,,,349.358457
2013,"million usd, constant prices (2023)",transport and storage,,,,459.091052
2014,"million usd, constant prices (2023)",transport and storage,,,,146.548705
2015,"million usd, constant prices (2023)",transport and storage,,,,588.431591
2016,"million usd, constant prices (2023)",transport and storage,,,,508.242248
2017,"million usd, constant prices (2023)",transport and storage,,,,321.518139
2018,"million usd, constant prices (2023)",transport and storage,,,,449.975083
2019,"million usd, constant prices (2023)",transport and storage,,,,632.753577
2020,"million usd, constant prices (2023)",transport and storage,,,,457.72679
2021,"million usd, constant prices (2023)",transport and storage,,,,249.469487
2022,"million usd, constant prices (2023)",transport and storage,,,,329.566855
2023,"million usd, constant prices (2023)",transport and storage,,,,389.473037
2024,"million usd, constant prices (2023)",transport and storage,,,,472.617868
2010,"million usd, constant prices (2023)",communications,,,,30.337952
2011,"million usd, constant prices (2023)",communications,,,,11.341024
2012,"million usd, constant prices (2023)",communications,,,,7.875446
2013,"million usd, constant prices (2023)",communications,,,,32.207326
2014,"million usd, constant prices (2023)",communications,,,,78.913659
2015,"million usd, constant prices (2023)",communications,,,,34.258275
2016,"million usd, constant prices (2023)",communications,,,,18.668141
2017,"million usd, constant prices (2023)",communications,,,,35.700108
2018,"million usd, constant prices (2023)",communications,,,,37.152063
2019,"million usd, constant prices (2023)",communications,,,,72.458881
2020,"million usd, constant prices (2023)",communications,,,,73.543804
2021,"million usd, constant prices (2023)",communications,,,,108.345896
2022,"million usd, constant prices (2023)",communications,,,,152.659185
2023,"million usd, constant prices (2023)",communications,,,,59.899038
2024,"million usd, constant prices (2023)",communications,,,,52.766236
2010,"million usd, constant prices (2023)",energy,,,,1541.403069
2011,"million usd, constant prices (2023)",energy,,,,1306.215518
2012,"million usd, constant prices (2023)",energy,,,,883.059357
2013,"million usd, constant prices (2023)",energy,,,,1302.475102
2014,"million usd, constant prices (2023)",energy,,,,1689.936222
2015,"million usd, constant prices (2023)",energy,,,,2206.091777
2016,"million usd, constant prices (2023)",energy,,,,2281.772448
2017,"million usd, constant prices (2023)",energy,,,,1975.850102
2018,"million usd, constant prices (2023)",energy,,,,2241.472263
2019,"million usd, constant prices (2023)",energy,,,,2225.422648
2020,"million usd, constant prices (2023)",energy,,,,1986.819055
2021,"million usd, constant prices (2023)",energy,,,,1783.600044
2022,"million usd, constant prices (2023)",energy,,,,2484.976865
2023,"million usd, constant prices (2023)",energy,,,,2452.407901
2024,"million usd, constant prices (2023)",energy,,,,2935.893862
