Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2015,,,,(1) contracting party to the basel convention,1.0
2020,,,,(1) contracting party to the basel convention,1.0
2015,,,,(2) contracting party to the montreal protocol,1.0
2020,,,,(2) contracting party to the montreal protocol,1.0
2015,,,,(3) contracting party to the rotterdam convention,1.0
2020,,,,(3) contracting party to the rotterdam convention,1.0
2015,,,,(4) contracting party to the stockholm convention,1.0
2020,,,,(4) contracting party to the stockholm convention,1.0
2019,.,,,(5) contracting party to the minamata convention,
2020,,,,(5) contracting party to the minamata convention,1.0
2021,…,,,(5) contracting party to the minamata convention,
