Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,36
2011,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,35
2012,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,35
2013,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,33
2014,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,33
2015,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,32
2016,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,32
2017,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,33
2018,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,30
2019,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,29
2020,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,25
2021,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,23
2022,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,23
2023,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,22
2024,number of pieces of platic waste per 100 meters of beach length,,,,plastic waste on the beaches of the german north sea coast,24
2010,percentage,,,,plastic particles in fulmar stomachs,35
2011,percentage,,,,plastic particles in fulmar stomachs,28
2012,percentage,,,,plastic particles in fulmar stomachs,28
2013,percentage,,,,plastic particles in fulmar stomachs,28
2014,percentage,,,,plastic particles in fulmar stomachs,24
2015,percentage,,,,plastic particles in fulmar stomachs,21
2016,percentage,,,,plastic particles in fulmar stomachs,21
2017,percentage,,,,plastic particles in fulmar stomachs,22
2018,percentage,,,,plastic particles in fulmar stomachs,22
2019,percentage,,,,plastic particles in fulmar stomachs,23
2020,percentage,,,,plastic particles in fulmar stomachs,21
2021,percentage,,,,plastic particles in fulmar stomachs,20
2022,percentage,,,,plastic particles in fulmar stomachs,21
2023,percentage,,,,plastic particles in fulmar stomachs,22
2024,percentage,,,,plastic particles in fulmar stomachs,24
