Year,Units,timeseries,fields of work,level of court,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,percentage,working-age population,,,.,,,
2011,percentage,working-age population,,,.,,,
2012,percentage,working-age population,,,.,,,
2013,percentage,working-age population,,,.,,,
2014,percentage,working-age population,,,.,,,
2015,percentage,working-age population,,,.,,,
2016,percentage,working-age population,,,.,,,
2017,percentage,working-age population,,,.,,,
2018,percentage,working-age population,,,.,,,
2019,percentage,working-age population,,,.,,,
2020,percentage,working-age population,,,,,,1.1
2021,percentage,working-age population,,,…,,,
2022,percentage,working-age population,,,…,,,
2023,percentage,working-age population,,,…,,,
2024,percentage,working-age population,,,…,,,
2010,percentage,german bundestag (lower chamber),,,.,,,
2011,percentage,german bundestag (lower chamber),,,.,,,
2012,percentage,german bundestag (lower chamber),,,.,,,
2013,percentage,german bundestag (lower chamber),,,.,,,
2014,percentage,german bundestag (lower chamber),,,.,,,
2015,percentage,german bundestag (lower chamber),,,.,,,
2016,percentage,german bundestag (lower chamber),,,.,,,
2017,percentage,german bundestag (lower chamber),,,.,,,
2018,percentage,german bundestag (lower chamber),,,.,,,
2019,percentage,german bundestag (lower chamber),,,.,,,
2020,percentage,german bundestag (lower chamber),,,,,,4.6
2021,percentage,german bundestag (lower chamber),,,…,,,
2022,percentage,german bundestag (lower chamber),,,…,,,
2023,percentage,german bundestag (lower chamber),,,…,,,
2024,percentage,german bundestag (lower chamber),,,…,,,
2010,percentage,bundesrat (upper chamber),,,.,,,
2011,percentage,bundesrat (upper chamber),,,.,,,
2012,percentage,bundesrat (upper chamber),,,.,,,
2013,percentage,bundesrat (upper chamber),,,.,,,
2014,percentage,bundesrat (upper chamber),,,.,,,
2015,percentage,bundesrat (upper chamber),,,.,,,
2016,percentage,bundesrat (upper chamber),,,.,,,
2017,percentage,bundesrat (upper chamber),,,.,,,
2018,percentage,bundesrat (upper chamber),,,.,,,
2019,percentage,bundesrat (upper chamber),,,.,,,
2020,percentage,bundesrat (upper chamber),,,,,,2.1
2021,percentage,bundesrat (upper chamber),,,…,,,
2022,percentage,bundesrat (upper chamber),,,…,,,
2023,percentage,bundesrat (upper chamber),,,…,,,
