Year,time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,national taxes,.,,,
2011,national taxes,.,,,
2012,national taxes,,,,101.1
2013,national taxes,,,,99.5
2014,national taxes,,,,91.7
2015,national taxes,,,,91.3
2016,national taxes,,,,97.0
2017,national taxes,,,,87.9
2018,national taxes,,,,83.0
2019,national taxes,,,,84.4
2020,national taxes,,,,69.2
2021,national taxes,,,,76.4
2022,national taxes,,,,74.0
2023,national taxes,,,,90.8
2024,national taxes,,,,101.1
2010,national taxes and insurance contributions,.,,,
2011,national taxes and insurance contributions,.,,,
2012,national taxes and insurance contributions,.,,,
2013,national taxes and insurance contributions,.,,,
2014,national taxes and insurance contributions,.,,,
2015,national taxes and insurance contributions,,,,93.1
2016,national taxes and insurance contributions,.,,,
2017,national taxes and insurance contributions,,,,94.7
2018,national taxes and insurance contributions,.,,,
2019,national taxes and insurance contributions,,,,97.0
2020,national taxes and insurance contributions,.,,,
2021,national taxes and insurance contributions,,,,96.9
2022,national taxes and insurance contributions,.,,,
2023,national taxes and insurance contributions,,,,95.7
2024,national taxes and insurance contributions,…,,,
