Year,sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2022,,,,,output of the environmental goods and services sector (egss),286978.155
2023,,p,,,output of the environmental goods and services sector (egss),284514.935
2010,,,,,gross fixed capital formation on environmental protection,10279.0
2011,,,,,gross fixed capital formation on environmental protection,11415.0
2012,,,,,gross fixed capital formation on environmental protection,11701.0
2013,,,,,gross fixed capital formation on environmental protection,11331.0
2014,,r,,,gross fixed capital formation on environmental protection,12659.0
2015,,,,,gross fixed capital formation on environmental protection,12117.0
2016,,,,,gross fixed capital formation on environmental protection,12824.0
2017,,,,,gross fixed capital formation on environmental protection,13263.0
2018,,,,,gross fixed capital formation on environmental protection,14747.0
2019,,,,,gross fixed capital formation on environmental protection,15577.0
2020,,,,,gross fixed capital formation on environmental protection,16070.0
2021,,,,,gross fixed capital formation on environmental protection,14209.0
2022,,p,,,gross fixed capital formation on environmental protection,15929.0
2010,general government,,,,gross fixed capital formation on environmental protection,2726.0
2011,general government,,,,gross fixed capital formation on environmental protection,3434.0
2012,general government,,,,gross fixed capital formation on environmental protection,3716.0
2013,general government,,,,gross fixed capital formation on environmental protection,3708.0
2014,general government,r,,,gross fixed capital formation on environmental protection,4271.0
2015,general government,,,,gross fixed capital formation on environmental protection,4051.0
2016,general government,,,,gross fixed capital formation on environmental protection,4594.0
2017,general government,,,,gross fixed capital formation on environmental protection,4245.0
2018,general government,,,,gross fixed capital formation on environmental protection,4625.0
2019,general government,,,,gross fixed capital formation on environmental protection,4979.0
2020,general government,,,,gross fixed capital formation on environmental protection,5028.0
2021,general government,,,,gross fixed capital formation on environmental protection,3589.0
2022,general government,p,,,gross fixed capital formation on environmental protection,3902.0
2010,corporations,,,,gross fixed capital formation on environmental protection,7553.0
2011,corporations,,,,gross fixed capital formation on environmental protection,7981.0
2012,corporations,,,,gross fixed capital formation on environmental protection,7985.0
2013,corporations,,,,gross fixed capital formation on environmental protection,7623.0
2014,corporations,,,,gross fixed capital formation on environmental protection,8388.0
2015,corporations,,,,gross fixed capital formation on environmental protection,8066.0
2016,corporations,,,,gross fixed capital formation on environmental protection,8230.0
2017,corporations,,,,gross fixed capital formation on environmental protection,9018.0
2018,corporations,,,,gross fixed capital formation on environmental protection,10123.0
2019,corporations,,,,gross fixed capital formation on environmental protection,10598.0
2020,corporations,,,,gross fixed capital formation on environmental protection,11042.0
2021,corporations,,,,gross fixed capital formation on environmental protection,10620.0
2022,corporations,p,,,gross fixed capital formation on environmental protection,12026.0
