Year,education level,subject,Value
2010,b) at the end of lower primary education,reading,
2011,b) at the end of lower primary education,reading,97.6
2012,b) at the end of lower primary education,reading,
2013,b) at the end of lower primary education,reading,
2014,b) at the end of lower primary education,reading,
2015,b) at the end of lower primary education,reading,
2016,b) at the end of lower primary education,reading,94.5
2017,b) at the end of lower primary education,reading,
2018,b) at the end of lower primary education,reading,
2010,b) at the end of lower primary education,mathematics,
2011,b) at the end of lower primary education,mathematics,97.3
2012,b) at the end of lower primary education,mathematics,
2013,b) at the end of lower primary education,mathematics,
2014,b) at the end of lower primary education,mathematics,
2015,b) at the end of lower primary education,mathematics,96.3
2016,b) at the end of lower primary education,mathematics,
2017,b) at the end of lower primary education,mathematics,
2018,b) at the end of lower primary education,mathematics,
2010,c) at the end of lower secondary education,reading,
2011,c) at the end of lower secondary education,reading,
2012,c) at the end of lower secondary education,reading,85.6
2013,c) at the end of lower secondary education,reading,
2014,c) at the end of lower secondary education,reading,
2015,c) at the end of lower secondary education,reading,83.7
2016,c) at the end of lower secondary education,reading,
2017,c) at the end of lower secondary education,reading,
2018,c) at the end of lower secondary education,reading,79.3
2010,c) at the end of lower secondary education,mathematics,
2011,c) at the end of lower secondary education,mathematics,
2012,c) at the end of lower secondary education,mathematics,82.3
2013,c) at the end of lower secondary education,mathematics,
2014,c) at the end of lower secondary education,mathematics,
2015,c) at the end of lower secondary education,mathematics,82.8
2016,c) at the end of lower secondary education,mathematics,
2017,c) at the end of lower secondary education,mathematics,
2018,c) at the end of lower secondary education,mathematics,78.8
