Year,Units,type of waste water,treatment,Series,Value
2010,%,,,wastewater and cooling water,100.0
2011,%,,,wastewater and cooling water,100.0
2012,%,,,wastewater and cooling water,100.0
2013,%,,,wastewater and cooling water,100.0
2014,%,,,wastewater and cooling water,100.0
2015,%,,,wastewater and cooling water,100.0
2016,%,,,wastewater and cooling water,100.0
2010,1 000 m³,total wastewater produced from public and non-public disposal,,wastewater that is safely treated or does not require treatment,11202690.0
2011,1 000 m³,total wastewater produced from public and non-public disposal,,wastewater that is safely treated or does not require treatment,
2012,1 000 m³,total wastewater produced from public and non-public disposal,,wastewater that is safely treated or does not require treatment,
2013,1 000 m³,total wastewater produced from public and non-public disposal,,wastewater that is safely treated or does not require treatment,10912539.0
2014,1 000 m³,total wastewater produced from public and non-public disposal,,wastewater that is safely treated or does not require treatment,
2015,1 000 m³,total wastewater produced from public and non-public disposal,,wastewater that is safely treated or does not require treatment,
2016,1 000 m³,total wastewater produced from public and non-public disposal,,wastewater that is safely treated or does not require treatment,10618410.0
2010,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,wastewater that is safely treated or does not require treatment,1568324.0
2011,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,wastewater that is safely treated or does not require treatment,
2012,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,wastewater that is safely treated or does not require treatment,
2013,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,wastewater that is safely treated or does not require treatment,1513440.0
2014,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,wastewater that is safely treated or does not require treatment,
2015,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,wastewater that is safely treated or does not require treatment,
2016,1 000 m³,total wastewater produced from public and non-public disposal,untreated wastewater,wastewater that is safely treated or does not require treatment,1510666.0
2010,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,wastewater that is safely treated or does not require treatment,9634366.0
2011,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,wastewater that is safely treated or does not require treatment,
2012,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,wastewater that is safely treated or does not require treatment,
2013,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,wastewater that is safely treated or does not require treatment,9399099.0
2014,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,wastewater that is safely treated or does not require treatment,
2015,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,wastewater that is safely treated or does not require treatment,
2016,1 000 m³,total wastewater produced from public and non-public disposal,treated wastewater,wastewater that is safely treated or does not require treatment,9107744.0
2010,1 000 m³,cooling water,,wastewater that is safely treated or does not require treatment,24153706.0
2011,1 000 m³,cooling water,,wastewater that is safely treated or does not require treatment,
2012,1 000 m³,cooling water,,wastewater that is safely treated or does not require treatment,
2013,1 000 m³,cooling water,,wastewater that is safely treated or does not require treatment,16582729.0
2014,1 000 m³,cooling water,,wastewater that is safely treated or does not require treatment,
2015,1 000 m³,cooling water,,wastewater that is safely treated or does not require treatment,
2016,1 000 m³,cooling water,,wastewater that is safely treated or does not require treatment,15725418.0
