Year,economic activity,Value
2010,,100.0
2011,,104.1
2012,,102.0
2013,,106.3
2014,,94.8
2015,,112.2
2016,,105.4
2017,,104.5
2018,,120.4
2019,,96.7
2010,"agriculture, forestry and fishing",100.0
2011,"agriculture, forestry and fishing",123.8
2012,"agriculture, forestry and fishing",106.1
2013,"agriculture, forestry and fishing",105.9
2014,"agriculture, forestry and fishing",106.8
2015,"agriculture, forestry and fishing",90.0
2016,"agriculture, forestry and fishing",107.9
2017,"agriculture, forestry and fishing",103.4
2018,"agriculture, forestry and fishing",79.8
2019,"agriculture, forestry and fishing",85.5
2010,mimec,100.0
2011,mimec,112.6
2012,mimec,111.5
2013,mimec,108.4
2014,mimec,102.2
2015,mimec,109.2
2016,mimec,108.3
2017,mimec,116.1
2018,mimec,108.6
2019,mimec,108.9
2010,services,100.0
2011,services,106.7
2012,services,102.9
2013,services,101.6
2014,services,105.9
2015,services,105.5
2016,services,103.9
2017,services,107.5
2018,services,104.4
2019,services,105.3
