Year,Value,Series
2010,,persons at risk of poverty or social exclusion
2011,,persons at risk of poverty or social exclusion
2012,,persons at risk of poverty or social exclusion
2013,,persons at risk of poverty or social exclusion
2014,,persons at risk of poverty or social exclusion
2015,20.0,persons at risk of poverty or social exclusion
2016,19.8,persons at risk of poverty or social exclusion
2017,18.8,persons at risk of poverty or social exclusion
2018,18.5,persons at risk of poverty or social exclusion
2019,17.3,persons at risk of poverty or social exclusion
2020,20.4,persons at risk of poverty or social exclusion
2021,21.0,persons at risk of poverty or social exclusion
2022,21.1,persons at risk of poverty or social exclusion
2010,15.6,at-risk-of-poverty rate
2011,15.8,at-risk-of-poverty rate
2012,16.1,at-risk-of-poverty rate
2013,16.1,at-risk-of-poverty rate
2014,16.7,at-risk-of-poverty rate
2015,16.7,at-risk-of-poverty rate
2016,16.5,at-risk-of-poverty rate
2017,16.1,at-risk-of-poverty rate
2018,16.0,at-risk-of-poverty rate
2019,14.8,at-risk-of-poverty rate
2020,16.1,at-risk-of-poverty rate
2021,16.0,at-risk-of-poverty rate
2022,14.8,at-risk-of-poverty rate
2023,14.3,at-risk-of-poverty rate
2010,,persons living in households with very low work intensity
2011,,persons living in households with very low work intensity
2012,,persons living in households with very low work intensity
2013,,persons living in households with very low work intensity
2014,,persons living in households with very low work intensity
2015,9.5,persons living in households with very low work intensity
2016,9.4,persons living in households with very low work intensity
2017,8.7,persons living in households with very low work intensity
2018,8.0,persons living in households with very low work intensity
2019,7.6,persons living in households with very low work intensity
2020,8.3,persons living in households with very low work intensity
2021,9.5,persons living in households with very low work intensity
2022,9.8,persons living in households with very low work intensity
2023,,persons living in households with very low work intensity
2010,,severely materially and socially deprived persons
2011,,severely materially and socially deprived persons
2012,,severely materially and socially deprived persons
2013,,severely materially and socially deprived persons
2014,,severely materially and socially deprived persons
2015,5.7,severely materially and socially deprived persons
2016,4.7,severely materially and socially deprived persons
2017,3.7,severely materially and socially deprived persons
2018,3.4,severely materially and socially deprived persons
2019,3.0,severely materially and socially deprived persons
2020,4.4,severely materially and socially deprived persons
2021,4.3,severely materially and socially deprived persons
2022,6.2,severely materially and socially deprived persons
2023,6.9,severely materially and socially deprived persons
