Year,Value,Units
2023,68763.5,million eur
2010,46398.0,"million usd, constant prices (2022)"
2011,58935.0,"million usd, constant prices (2022)"
2012,38823.0,"million usd, constant prices (2022)"
2013,56360.0,"million usd, constant prices (2022)"
2014,55250.0,"million usd, constant prices (2022)"
2015,58399.3,"million usd, constant prices (2022)"
2016,59759.0,"million usd, constant prices (2022)"
2017,63102.0,"million usd, constant prices (2022)"
2018,57236.0,"million usd, constant prices (2022)"
2019,48013.0,"million usd, constant prices (2022)"
2020,49103.0,"million usd, constant prices (2022)"
2021,71254.0,"million usd, constant prices (2022)"
2022,56348.0,"million usd, constant prices (2022)"
2023,74355.0,"million usd, constant prices (2022)"
