Year,Value,Units
2010,1306.0,mn t
2011,1379.0,mn t
2012,1254.0,mn t
2013,1266.0,mn t
2014,1274.0,mn t
2015,1198.0,mn t
2016,1221.0,mn t
2010,15.8,t per capita
2011,17.1,t per capita
2012,15.6,t per capita
2013,15.8,t per capita
2014,16.0,t per capita
2015,,t per capita
2016,,t per capita
2010,100.0,per real gdp (2010 = 100)
2011,102.8,per real gdp (2010 = 100)
2012,93.5,per real gdp (2010 = 100)
2013,94.2,per real gdp (2010 = 100)
2014,94.3,per real gdp (2010 = 100)
2015,,per real gdp (2010 = 100)
2016,,per real gdp (2010 = 100)
