Year,Value,Units,Series
2010,45.26,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2011,45.26,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2012,45.261,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2013,45.325,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2014,45.325,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2015,45.325,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2016,45.325,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2017,45.342,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2018,45.343,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2019,45.41,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2020,45.41,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2021,45.41,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2022,45.41,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2023,45.41,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2024,45.41,"yes=1, no=0",1) countries that are contracting parties to the international treaty on pgrfa
2010,2179802.882,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2011,2179803.77,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2012,2179803.77,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2013,2179803.77,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2014,2179803.77,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2015,2179804.385,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2016,2179804.385,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2017,2180865.779,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2018,2180878.567,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2019,2185090.117,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2020,2185090.12,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2021,2185090.12,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2022,2185090.12,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2023,2187390.89,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2024,2187817.22,"yes=1, no=0",2) countries that are parties to the nagoya protocol
2010,38.343,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2011,38.343,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2012,38.343,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2013,38.343,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2014,38.343,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2015,38.343,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2016,38.343,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2017,38.361,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2018,38.362,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2019,38.436,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2020,38.436,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2021,38.436,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2022,38.436,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2023,38.476,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2024,38.484,"yes=1, no=0","3) countries that have legislative, administrative and policy framework or measures reported through the online reporting system on compliance of the international treaty on pgrfa"
2018,5.0,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2020,5.0,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2022,5.0,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
2024,5.0,"yes=1, no=0","4) countries that have legislative, administrative and policy framework or measures reported to the abs clearing-house"
