Year,Value,Series
2010,68.743,a) national legislation and policy relevant to ias
2011,68.879,a) national legislation and policy relevant to ias
2012,68.895,a) national legislation and policy relevant to ias
2013,68.895,a) national legislation and policy relevant to ias
2014,68.999,a) national legislation and policy relevant to ias
2015,69.035,a) national legislation and policy relevant to ias
2016,69.035,a) national legislation and policy relevant to ias
2017,69.134,a) national legislation and policy relevant to ias
2018,69.432,a) national legislation and policy relevant to ias
2019,70.152,a) national legislation and policy relevant to ias
2020,70.152,a) national legislation and policy relevant to ias
2021,71.476,a) national legislation and policy relevant to ias
2022,71.566,a) national legislation and policy relevant to ias
2023,71.566,a) national legislation and policy relevant to ias
2024,71.566,a) national legislation and policy relevant to ias
2010,3999698.924,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2011,4007560.836,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2012,4008502.894,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2013,4008502.894,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2014,4014581.599,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2015,4016635.106,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2016,4016635.106,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2017,4022416.328,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2018,4039782.721,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2019,4081651.296,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2020,4081651.296,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2021,4158660.757,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2022,4163924.472,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2023,4163924.472,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
2024,4163924.47,b) align the nbsap targets with aichi target 9 of the strategic plan for biodiversity
