Year,Value,Units,Series
2010,52116.0,million eur,environmental protection expenditure
2011,54918.0,million eur,environmental protection expenditure
2012,57022.0,million eur,environmental protection expenditure
2013,58937.0,million eur,environmental protection expenditure
2014,63026.0,million eur,environmental protection expenditure
2015,64748.0,million eur,environmental protection expenditure
2016,67478.0,million eur,environmental protection expenditure
2017,70053.0,million eur,environmental protection expenditure
2018,74164.0,million eur,environmental protection expenditure
2019,77773.0,million eur,environmental protection expenditure
2021,80334.0,million eur,environmental protection expenditure
