Year,Value,Series
2010,306.3,documents issued for the import and export of protected species
2011,312.1,documents issued for the import and export of protected species
2012,336.9,documents issued for the import and export of protected species
2013,391.4,documents issued for the import and export of protected species
2014,406.8,documents issued for the import and export of protected species
2015,404.4,documents issued for the import and export of protected species
2016,447.8,documents issued for the import and export of protected species
2017,474.7,documents issued for the import and export of protected species
2018,490.5,documents issued for the import and export of protected species
2019,474.5,documents issued for the import and export of protected species
2020,489.4,documents issued for the import and export of protected species
2021,560.0,documents issued for the import and export of protected species
2022,537.3,documents issued for the import and export of protected species
2023,611.7,documents issued for the import and export of protected species
2024,624.9,documents issued for the import and export of protected species
2018,4.0,seizures by customs authorities concerning the protection of species
2020,4.0,seizures by customs authorities concerning the protection of species
2022,4.0,seizures by customs authorities concerning the protection of species
2024,5.0,seizures by customs authorities concerning the protection of species
2021,100.0,authorized imports and exports of protected species
