Year,Value,Units,Series
2015,4.65,percentage,population who had the impression that public officials are corruptible
2017,3.66,percentage,population who had the impression that public officials are corruptible
2019,4.67,percentage,population who had the impression that public officials are corruptible
2021,3.86,percentage,population who had the impression that public officials are corruptible
2023,11.56,percentage,population who had the impression that public officials are corruptible
2011,295.0,number,
2012,163.0,number,
2013,222.0,number,
2014,121.0,number,
2015,148.0,number,
