Year,Value,Units
2010,272.6,"mn usd, constant prices (2020)"
2011,329.7,"mn usd, constant prices (2020)"
2012,286.0,"mn usd, constant prices (2020)"
2013,401.4,"mn usd, constant prices (2020)"
2014,338.8,"mn usd, constant prices (2020)"
2015,601.1,"mn usd, constant prices (2020)"
2016,634.5,"mn usd, constant prices (2020)"
2017,686.4,"mn usd, constant prices (2020)"
2018,570.0,"mn usd, constant prices (2020)"
2019,621.1,"mn usd, constant prices (2020)"
2020,909.9,"mn usd, constant prices (2020)"
2010,202.7,mn eur
2011,247.8,mn eur
2012,218.1,mn eur
2013,312.2,mn eur
2014,268.4,mn eur
2015,485.0,mn eur
2016,518.8,mn eur
2017,569.7,mn eur
2018,482.5,mn eur
2019,536.5,mn eur
2020,798.4,mn eur
