Year,Value,Series
2010,98.4,owned and leased agricultural land
2013,98.4,owned and leased agricultural land
2016,98.1,owned and leased agricultural land
2020,98.3,owned and leased agricultural land
2023,98.2,owned and leased agricultural land
2010,8.4,female owners of agricultural holdings with the legal form of a sole proprietorship
2013,8.6,female owners of agricultural holdings with the legal form of a sole proprietorship
2016,9.6,female owners of agricultural holdings with the legal form of a sole proprietorship
2020,10.9,female owners of agricultural holdings with the legal form of a sole proprietorship
2023,11.3,female owners of agricultural holdings with the legal form of a sole proprietorship
2010,91.3,agricultural holdings with the legal form of a sole proprietorship
2013,89.8,agricultural holdings with the legal form of a sole proprietorship
2016,88.6,agricultural holdings with the legal form of a sole proprietorship
2020,87.0,agricultural holdings with the legal form of a sole proprietorship
2023,85.4,agricultural holdings with the legal form of a sole proprietorship
