Value,Disaggregation combinations using this value,Number of indicators
11 months and younger,3,1
12 to under 18 years,5,2
13 years and younger,78,4
14 to under 18 years,76,4
14 years and younger,5,3
15 to under 25 years,61,5
15 years and older,54,1
15 years,1,1
15.5 years,1,1
16 to under 25 years,49,6
16 to under 66 years,1,1
16 years,1,1
16.5 years,1,1
17 years and younger,6,3
17 years,1,1
17.5 years,1,1
18 to under 21 years,53,3
18 to under 30 years,1,1
18 to under 65 years,8,3
21 to under 25 years,3,1
21 to under 60 years,49,2
24 years and younger,8,1
25 to under 30 years,8,1
25 to under 35 years,29,5
25 to under 45 years,54,1
25 to under 55 years,12,1
25 to under 65 years,23,3
25 to under 75 years,9,1
25 years and older,4,1
30 to under 35 years,8,1
30 to under 45 years,1,1
35 to under 40 years,8,1
35 to under 45 years,29,5
4 years and younger,8,2
40 to under 45 years,8,1
45 to under 50 years,8,1
45 to under 55 years,82,6
45 to under 65 years,1,1
5 years and younger,8,2
50 to under 55 years,8,1
55 to under 60 years,8,1
55 to under 65 years,83,7
6 to under 12 years,8,2
60 to under 65 years,8,1
60 years and older,50,2
65 to under 75 years,29,6
65 years and older,53,6
75 years and older,26,5
unknown age,2,1
