Value,Disaggregation combinations using this value,Number of indicators
1.0,1,1
10451.0,1,1
10600.0,1,1
10607.0,1,1
11290.0,1,1
117263.0,1,1
118531.0,1,1
122260.0,1,1
125878.0,1,1
12858.0,1,1
12881.0,1,1
12921.0,1,1
129808.0,1,1
13230.0,1,1
13280.0,1,1
13303.0,1,1
135845.0,1,1
141363.0,1,1
142373.0,1,1
143201.0,1,1
143488.0,1,1
159421.0,1,1
161247.0,1,1
165834.0,1,1
170467.0,1,1
176185.0,1,1
185305.0,1,1
191512.0,1,1
192159.0,1,1
194412.0,1,1
195976.0,1,1
204906.0,1,1
215078.0,1,1
215436.0,1,1
217220.0,1,1
218360.0,1,1
225324.0,1,1
225471.0,1,1
230672.0,1,1
231052.0,1,1
243326.0,1,1
255405.0,1,1
25566.0,1,1
255830.0,1,1
257949.0,1,1
259303.0,1,1
26241.0,1,1
26656.0,1,1
267572.0,1,1
267747.0,1,1
273923.0,1,1
274374.0,1,1
29266.0,1,1
36515.0,1,1
38689.0,1,1
38925.0,1,1
39318.0,1,1
39522.0,1,1
40569.0,1,1
42158.0,1,1
42716.0,1,1
43574.0,1,1
44589.0,1,1
46377.0,1,1
49139.0,1,1
49460.0,1,1
50796.0,1,1
51211.0,1,1
52487.0,1,1
