Value,en,Disaggregation combinations using this value,Number of indicators
Baden-Württemberg,Baden-Wuerttemberg,3,3
Bayern,Bavaria,3,3
Berlin,Berlin,3,3
Brandenburg,Brandenburg,3,3
Bremen,Bremen,3,3
Hamburg,Hamburg,3,3
Hessen,Hesse,3,3
Niedersachsen,Lower Saxony,3,3
Mecklenburg-Vorpommern,Mecklenburg Western Pomerania,3,3
Nordrhein-Westfalen,North Rhine-Westphalia,3,3
Rheinland-Pfalz,Rhineland Palatinate,3,3
Saarland,Saarland,3,3
Sachsen-Anhalt,Saxony-Anhalt,3,3
Sachsen,Saxony,3,3
Schleswig-Holstein,Schleswig-Holstein,3,3
Thüringen,Thuringia,3,3
