Value,Disaggregation combinations using this value,Number of indicators
accessibility within 10 minutes on foot,9,1
accessibility within 500 m,51,1
applications finally processed,6,1
applications received,2,1
commitments (oda and oof),5,2
commitments (oda),7,2
cultural services (cofog 8.2),3,1
gross disbursements (oda and oof),6,2
gross disbursements (oda),7,2
imputed student costs,4,1
inpatient treatment,20,1
national taxes and insurance contributions,3,1
national taxes,3,1
people requiring interventions,9,1
protection of biodiversity and landscape (cofog 5.4),2,1
scholarships,4,1
