Value,Disaggregation combinations using this value,Number of indicators
(a) acute respiratory infections,4,1
(a) diseases of the circulatory system,1,1
(b) diarrhoea,5,1
(b) malignant neoplasms,1,1
buruli ulcer,2,1
(c) diabetes mellitus,1,1
(c) intestinal nematode infections,6,1
chronic obstructive pulmonary disease (copd),5,1
(d) chronic respiratory disease,1,1
(d) protein-energy malnutrition,5,1
dengue,5,1
diabetes mellitus type 2,5,1
dracunculiasis,3,1
echinococcosis,4,1
human african trypanosomiasis,2,1
ischemic heart diseases,5,1
leishmaniases,1,1
leprosy,3,1
lung cancer,5,1
rabies,3,1
stroke,5,1
yaws,2,1
